total_timesteps,policy_loss,ent_coef,qf1_loss,mean_rew,qf2_loss,current_lr,success_rate,value_loss,entropy,episodes,ent_coef_loss
976678,-1.9057851,0.00081005594,0.0070865965,7930.6,0.011364354,0.0003,1.0,0.00023734437,3.4269047,58848,1.0408995
976731,-1.9554076,0.00081280107,0.0019152656,7928.6,0.0019450816,0.0003,1.0,0.00021962433,3.1832771,58852,-3.2972684
976795,-1.9541866,0.00081291585,0.0023222817,7911.1,0.002116104,0.0003,1.0,0.0005187028,3.480206,58856,-0.24369752
976854,-1.9625506,0.0008173897,0.0031706453,7921.7,0.0030424811,0.0003,1.0,0.00041267258,3.649728,58860,1.2257613
976916,-1.9234052,0.000822192,0.0052099414,7907.6,0.0053750444,0.0003,1.0,0.0005528331,3.5668907,58864,-2.9923663
976967,-1.8772506,0.0008241542,0.007895295,7926.7,0.008433282,0.0003,1.0,0.0005477235,3.3998194,58868,0.05909908
977026,-1.6403024,0.0008255525,0.049186256,7915.6,0.052239016,0.0003,1.0,0.0053920494,3.531189,58872,3.5027733
977088,-1.8581252,0.0008252191,0.0079410765,7901.7,0.009656514,0.0003,1.0,0.00081364915,3.5098495,58876,-1.20105
977140,-1.9907541,0.00082466286,0.0034135398,7899.7,0.004214108,0.0003,1.0,0.00081238506,3.7462096,58880,-5.780843
977191,-1.8000665,0.0008280102,0.0061526066,7896.6,0.006197056,0.0003,1.0,0.00035437618,3.1584828,58884,-1.8658168
977242,-1.9767443,0.0008336416,0.018320346,7898.5,0.009554563,0.0003,1.0,0.0010804904,3.6504545,58888,0.03028506
977301,-1.8090967,0.00083901256,0.004752355,7935.4,0.0046826303,0.0003,1.0,0.000157477,3.3540752,58892,4.172291
977351,-1.8223228,0.0008435275,0.005087548,7987.4,0.004353307,0.0003,1.0,0.00094238564,3.6677818,58896,1.8052082
977411,-1.8685849,0.00084211765,0.0035104873,7980.7,0.0039835274,0.0003,1.0,0.00047670185,3.419866,58900,1.6875331
977484,-1.9450616,0.0008385802,0.0020708097,7946.6,0.0018003576,0.0003,1.0,0.0005895016,3.6332507,58904,-2.656657
977575,-1.6735394,0.0008331425,0.0027803746,7864.5,0.002845516,0.0003,1.0,0.0009906848,3.792686,58908,3.7551405
977635,-1.593421,0.0008297053,0.008657938,7845.8,0.009593684,0.0003,1.0,0.00062189985,3.3434405,58912,7.481515
977703,-2.043248,0.0008348032,0.0020965952,7823.9,0.0020318087,0.0003,1.0,0.0002157794,3.753983,58916,-2.333326
977765,-1.9765925,0.000841931,0.008433294,7809.7,0.0077285348,0.0003,1.0,0.00023127254,3.9782507,58920,1.1212234
977839,-1.7451098,0.0008494865,0.0043773814,7778.5,0.0039130272,0.0003,1.0,0.0003779372,3.1746478,58924,-0.51400405
977893,-1.8161857,0.00084854156,0.0025503335,7777.3,0.0028678966,0.0003,1.0,0.00026867297,3.7885695,58928,0.20349264
977946,-1.9589001,0.0008494107,0.00260046,7803.2,0.002946284,0.0003,1.0,0.0003465379,3.655773,58932,1.615253
978007,-1.8867779,0.0008463038,0.002534612,7781.2,0.003443687,0.0003,1.0,0.00063625746,3.592907,58936,-0.5901214
978069,-1.9058611,0.0008396441,0.006077005,7786.1,0.005406571,0.0003,1.0,0.00050560734,3.663608,58940,-1.048004
978127,-1.910503,0.00083847024,0.010571216,7849.8,0.010726997,0.0003,1.0,0.0003072818,3.7133372,58944,-1.7675781
978182,-1.9650632,0.0008368466,0.0069186995,7852.0,0.0074286847,0.0003,1.0,0.0003570337,3.60291,58948,-0.8718579
978233,-1.8986442,0.0008345015,0.010230906,7855.7,0.0105182445,0.0003,1.0,0.00055705797,3.6299617,58952,-5.1228037
978285,-1.9176892,0.00083680905,0.003646773,7874.2,0.0034365137,0.0003,1.0,0.00095223164,3.5238523,58956,-1.7470869
978335,-2.0141904,0.00083927624,0.0045113377,7889.0,0.0046964884,0.0003,1.0,0.0005176345,3.7855988,58960,-5.1762857
978389,-1.8725942,0.0008363735,0.006308781,7904.1,0.0073302016,0.0003,1.0,0.00052482676,3.3032155,58964,4.8575706
978457,-2.0152373,0.0008389954,0.0064239763,7875.4,0.0064967857,0.0003,1.0,0.00089745375,3.4398117,58968,-1.7333925
978515,-1.6934905,0.0008381445,0.0073962267,7878.6,0.0060963063,0.0003,1.0,0.0007140684,3.609662,58972,-0.5053688
978575,-1.7255807,0.0008365513,0.005779638,7883.6,0.0056249215,0.0003,1.0,0.0006760064,3.2781718,58976,4.8868017
978631,-1.5268298,0.0008350217,0.009299498,7878.0,0.0091061685,0.0003,1.0,0.004253078,3.6186206,58980,5.272834
978682,-1.59539,0.0008360497,0.014235898,7876.8,0.011316806,0.0003,1.0,0.00110169,3.478127,58984,3.6623228
978736,-2.013264,0.000840061,0.0028967275,7870.9,0.002703385,0.0003,1.0,0.00040626875,3.5499787,58988,-0.38310015
978787,-1.9159787,0.0008471214,0.0053246706,7882.6,0.0057430393,0.0003,1.0,0.0004963161,3.8258803,58992,3.7912014
978836,-1.8643004,0.00085346506,0.0033187484,7884.6,0.003576484,0.0003,1.0,0.00022338479,3.3786633,58996,2.3052914
978922,-1.9003509,0.000857082,0.003571698,7829.4,0.003745432,0.0003,1.0,0.00037616264,3.1611047,59000,-1.954405
978979,-1.9316366,0.0008531644,0.002892537,7856.6,0.0037957162,0.0003,1.0,0.0005145279,3.7531257,59004,1.2433934
979033,-2.0008025,0.0008509671,0.00714171,7929.6,0.0071562147,0.0003,1.0,0.0006684893,3.6011844,59008,-3.5410504
979086,-1.7496421,0.0008498147,0.030691553,7941.4,0.031420097,0.0003,1.0,0.0012647881,3.327619,59012,4.2777348
979141,-1.9505306,0.0008458193,0.009294336,7963.1,0.008780986,0.0003,1.0,0.0011340289,3.5967674,59016,0.5757052
979216,-1.872903,0.00085117726,0.0038418132,7937.1,0.0041755894,0.0003,1.0,0.00039088287,3.225831,59020,2.3753123
979282,-1.8817134,0.0008589468,0.0067007733,7952.3,0.0060348213,0.0003,1.0,0.0004593776,3.6945138,59024,0.23060226
979334,-1.837446,0.00086592016,0.002970438,7956.1,0.0036222097,0.0003,1.0,0.0007268628,3.261438,59028,5.287462
979403,-2.038734,0.00087272044,0.002439802,7927.0,0.002267486,0.0003,1.0,0.0005870597,3.6293328,59032,-1.4426891
979453,-1.9376656,0.0008719268,0.0035040118,7945.7,0.0039421804,0.0003,1.0,0.0003975026,3.5656857,59036,-1.7900281
979505,-1.9131074,0.00087519415,0.005267973,7960.4,0.00430285,0.0003,1.0,0.00047099887,3.4562764,59040,0.65148264
979559,-2.001057,0.0008781379,0.0034633637,7966.0,0.003441997,0.0003,1.0,0.00030326936,3.6237879,59044,-1.8892303
979622,-1.8273121,0.0008857476,0.006399751,7952.4,0.006478103,0.0003,1.0,0.00043633618,3.266736,59048,1.1632955
979681,-1.717563,0.00088446797,0.014523808,7936.5,0.015740858,0.0003,1.0,0.0009973758,3.1941288,59052,1.2827743
979735,-1.7576152,0.000881213,0.008737847,7932.5,0.008508044,0.0003,1.0,0.000670968,3.762222,59056,2.9297502
979787,-1.9497175,0.0008807661,0.0036218883,7928.3,0.0030770781,0.0003,1.0,0.0009912305,3.6187472,59060,0.6689027
979848,-1.9752283,0.00087854586,0.00481522,7917.6,0.0050052684,0.0003,1.0,0.00033632363,3.9825692,59064,0.50447893
979904,-2.0326948,0.00087416737,0.003273311,7937.3,0.0033428115,0.0003,1.0,0.00027553394,3.956717,59068,-1.5295157
980011,-1.7980806,0.0008730118,0.00817064,7850.4,0.008487564,0.0003,1.0,0.00074369845,3.3371334,59072,3.8941505
980078,-1.8948371,0.0008732558,0.0033107365,7840.6,0.002802596,0.0003,1.0,0.000218637,3.3131895,59076,1.3973391
980129,-1.9104296,0.00087642827,0.013226277,7848.1,0.016748223,0.0003,1.0,0.00032389312,3.2461934,59080,-1.3761874
980292,-1.8296691,0.00088236213,0.005036218,7624.2,0.005359845,0.0003,1.0,0.00037518187,3.3065646,59084,-0.19384491
980404,-1.9654473,0.00089015235,0.23680641,7509.4,0.23392472,0.0003,1.0,0.00042947402,3.7281976,59088,-5.0806355
980461,-2.004949,0.0008900955,0.004789927,7499.4,0.005273956,0.0003,1.0,0.00049742154,3.5094495,59092,1.2464987
980524,-1.8813761,0.00089191255,0.0042641023,7473.6,0.004904272,0.0003,1.0,0.00036150787,3.6676164,59096,-1.8182743
980578,-1.9309282,0.00089111255,0.003064912,7539.7,0.0039025,0.0003,1.0,0.0020340045,3.512784,59100,1.6420501
980658,-1.9236166,0.00088925846,0.007837378,7500.0,0.0065985722,0.0003,1.0,0.0005046163,3.268375,59104,-2.8274114
980711,-1.5394621,0.0008893632,0.09041546,7502.1,0.101759315,0.0003,1.0,0.0033349511,3.731923,59108,1.4526806
980769,-2.0256715,0.0008891338,0.0068177744,7494.2,0.007042302,0.0003,1.0,0.0003108415,3.5198677,59112,-2.916531
980821,-2.0192752,0.0008847497,0.003956847,7499.0,0.004392882,0.0003,1.0,0.0002353149,3.8723454,59116,-3.237404
980874,-1.9452666,0.00088780303,0.016027749,7542.1,0.016333431,0.0003,1.0,0.00041362355,3.825955,59120,-3.161501
980926,-1.9011514,0.0008864587,0.004530092,7565.7,0.005491682,0.0003,1.0,0.00054736313,3.6700122,59124,-0.4836414
980974,-1.8115156,0.0008804095,0.0041401256,7572.7,0.0037848905,0.0003,1.0,0.00076726795,3.4221978,59128,-4.3056846
981026,-2.0151153,0.0008743129,0.0025164576,7603.8,0.0023993768,0.0003,1.0,0.0005634987,3.697781,59132,0.8775878
981073,-1.7647204,0.0008701284,0.01688118,7609.9,0.013962647,0.0003,1.0,0.0039658137,3.7529945,59136,-0.5788121
981131,-1.9385245,0.0008734836,0.0029703868,7601.2,0.0040945346,0.0003,1.0,0.00037029773,3.3325057,59140,2.1297817
981187,-2.0567007,0.00087657955,0.0035416125,7598.0,0.0034536817,0.0003,1.0,0.0002716379,3.6312385,59144,-4.403091
981274,-1.964967,0.00087566633,0.003505354,7557.1,0.004171821,0.0003,1.0,0.0008452725,3.4621463,59148,-6.3817415
981344,-1.89809,0.0008776653,0.002763178,7536.0,0.002734591,0.0003,1.0,0.00068961445,3.6505542,59152,1.674193
981396,-1.943094,0.0008799025,0.002379552,7540.1,0.0026089465,0.0003,1.0,0.00037193578,3.5891066,59156,-6.4036846
981460,-1.9221004,0.00087589055,0.0063323537,7520.7,0.0067292782,0.0003,1.0,0.00052055286,3.4050333,59160,-2.6009297
981524,-1.8272673,0.0008831939,0.0056212964,7511.5,0.0058146417,0.0003,1.0,0.0006624724,3.3934815,59164,5.07885
981576,-1.8453934,0.00087867153,0.005614333,7517.4,0.005981962,0.0003,1.0,0.00048134718,3.1390157,59168,-1.8047135
981636,-1.8702478,0.00087451923,0.003116818,7602.7,0.0033772648,0.0003,1.0,0.0004027182,3.6649776,59172,-0.06399357
981687,-1.9679897,0.0008659772,0.004093947,7627.2,0.004261893,0.0003,1.0,0.00012608478,3.4601502,59176,-2.027814
981749,-1.6943742,0.00086582237,0.005110716,7608.6,0.00471071,0.0003,1.0,0.0007722475,3.5782943,59180,-0.513788
981797,-1.9422631,0.0008613006,0.003554666,7838.6,0.003957983,0.0003,1.0,0.0002658623,3.7284503,59184,-0.17862272
981860,-1.779695,0.00085999025,0.008352596,7935.4,0.006891287,0.0003,1.0,0.00048538443,3.738573,59188,3.6754208
982050,-2.0254788,0.00085525797,0.0076732878,7632.2,0.010285368,0.0003,0.99,0.0009756392,3.5425131,59192,-3.4359698
982118,-1.8145772,0.0008602483,0.0047344426,7625.6,0.004412302,0.0003,0.99,0.0007580358,3.5306816,59196,1.435383
982187,-1.8134655,0.0008606996,0.0054942695,7603.7,0.0034407568,0.0003,0.99,0.00037758588,3.301527,59200,3.0296736
982254,-1.9286977,0.0008534719,0.0063794767,7627.5,0.0067705987,0.0003,0.99,0.000662147,3.5676076,59204,-0.9512867
982306,-1.9524279,0.000852723,0.0021012463,7629.5,0.002203244,0.0003,0.99,0.00073150196,3.7348213,59208,-1.1890513
982357,-1.8432251,0.000847755,0.00692135,7640.2,0.003302212,0.0003,0.99,0.00047057046,3.7549167,59212,-2.1855586
982413,-1.8447044,0.000845756,0.0047771772,7636.6,0.0054003,0.0003,0.99,0.00043114228,3.2295938,59216,5.918814
982462,-1.8624346,0.0008466053,0.009549864,7643.3,0.009380379,0.0003,0.99,0.000522242,3.5638437,59220,1.6776662
982574,-1.6561749,0.0008414903,0.01709508,7525.6,0.015055257,0.0003,0.99,0.00040691264,3.5385716,59224,-1.4839755
982761,-2.0090256,0.00084986736,0.002282559,7139.8,0.0030304438,0.0003,0.98,0.00035865192,3.7892475,59228,3.034615
982810,-1.5828558,0.00085597485,0.026334362,7146.9,0.019260522,0.0003,0.98,0.00076518214,3.539463,59232,-0.73395246
982870,-1.9416707,0.00086175126,0.004977283,7125.2,0.004898346,0.0003,0.98,0.0006340002,3.4725547,59236,1.3800511
982951,-1.9018292,0.000869838,0.008148778,7086.9,0.00922891,0.0003,0.98,0.0020016308,3.6096127,59240,1.958217
983006,-1.8972287,0.0008713782,0.0018463575,7091.4,0.0022811596,0.0003,0.98,0.00027918298,3.4865706,59244,3.5256093
983057,-1.9076006,0.0008746247,0.02256014,7152.0,0.021922288,0.0003,0.98,0.0003058653,3.5006533,59248,-2.5122457
983106,-1.9351401,0.00087859406,0.0028181756,7192.0,0.0031475134,0.0003,0.98,0.0004654011,3.5178628,59252,0.9566223
983167,-1.9167649,0.0008773532,0.004625076,7176.2,0.004153193,0.0003,0.98,0.00023518078,3.8677614,59256,3.18892
983232,-1.8421354,0.00087706954,0.0038896643,7174.2,0.0035289177,0.0003,0.98,0.0005168037,3.0306773,59260,-2.2239835
983289,-1.9471054,0.00087552104,0.010060142,7189.5,0.011264247,0.0003,0.98,0.00047562766,3.4483771,59264,0.9161958
983346,-1.841448,0.0008796752,0.005946393,7180.3,0.0053639105,0.0003,0.98,0.0006935969,3.6891806,59268,-2.4885483
