#{"t_start": 1606315077.983036, "env_id": "gripper-env-v0"}
r,l,t
7095.974686,16,557.893982
-40000.0,200,570.720274
8898.338634,7,571.158404
9196.390539,6,571.551634
9100.000473,6,571.947467
9298.376534,5,572.235656
9098.067372,6,572.626934
9298.752174,5,572.96733
-40000.0,200,583.269612
8897.591038,7,583.726328
9298.320443,5,584.048612
8196.521486,11,584.76623
-32604.241422,200,594.924686
8392.639936,10,595.532705
-25301.548166,178,604.350703
9607.284265,4,604.603433
9197.961525,6,604.984329
6096.619779,21,606.055568
9498.755157,4,606.314926
8798.919818,8,606.762728
10000.0,1,606.904309
9298.350703,5,607.223894
9699.824702,3,607.435894
7498.289246,14,608.15519
5500.000869,24,609.474834
9298.070491,5,609.78173
10000.0,1,609.89719
6298.457814,20,610.874221
-33302.309183,200,621.256607
9301.753809,5,621.572854
8598.617081,9,622.074252
10000.0,1,622.183751
9298.832681,5,622.522735
8610.417777,9,623.065339
8615.136952,9,623.577444
-40000.0,200,633.26909
8898.399644,7,633.743422
7100.24632,16,634.603757
-40000.0,200,644.172651
7699.165723,13,645.058971
9297.94013,5,645.356408
9698.206793,3,645.576191
8697.904309,8,646.015613
-38560.614064,200,657.219385
9500.393617,4,657.509433
9006.024749,7,657.978427
7996.002976,12,658.644318
9298.014572,5,659.18148
6596.073214,19,660.257052
9299.897237,5,660.614474
9297.919028,5,660.94478
9101.495929,6,661.342704
9298.238064,5,661.681345
9296.317705,5,662.057588
9297.307087,5,662.386026
8898.063712,7,662.8306
9093.545526,6,663.22771
8898.085755,7,663.663518
8300.058436,10,664.270985
9299.937845,5,664.658049
7298.326913,15,665.569246
8695.051144,8,666.049746
5105.146643,27,667.588874
10000.0,1,667.783543
9698.116174,3,668.004255
8898.38916,7,668.483114
8298.339805,10,669.037157
9089.049156,6,669.407307
9697.949602,3,669.652142
9699.081107,3,669.887876
9298.277339,5,670.212279
4297.920889,30,672.011426
9297.75466,5,672.312172
8298.212962,10,672.871282
9297.838037,5,673.209816
-40000.0,200,683.738604
8698.050482,8,684.246761
8101.750526,11,684.888293
8605.328843,9,685.480481
9100.365675,6,685.910098
5123.413916,28,687.623827
-40000.0,200,702.283797
9297.789358,5,702.667755
8097.953749,11,703.357449
7110.071763,17,704.298614
9298.043264,5,704.635609
8898.168391,7,705.042283
9097.244337,6,705.429764
9298.147814,5,705.80591
8706.084191,8,706.348561
9297.835671,5,706.718996
9698.0374,3,706.957344
-40000.0,200,717.224738
9900.012218,2,717.414446
9899.995309,2,717.582531
7901.103834,12,718.205491
8701.132863,8,718.649967
9699.97047,3,718.910696
9698.362728,3,719.198636
6298.078905,20,720.320365
9298.411868,5,720.721591
9297.965115,5,721.032896
7698.11131,13,721.77953
9298.143171,5,722.143024
9499.058759,4,722.406897
6395.530041,20,723.564557
7494.492932,15,724.348414
9294.292321,5,724.627538
5698.229465,23,725.802844
9297.700717,5,726.14949
9096.945186,6,726.538258
9097.029643,6,726.920101
3999.26688,32,728.616004
9698.383645,3,728.843734
9102.023353,6,729.18752
9699.631176,3,729.41446
9300.308531,5,729.769219
-3195.153672,72,733.312647
9500.59298,4,733.606746
9698.522532,3,733.850034
8499.975131,9,734.418846
-2498.855169,64,738.648669
4698.612577,28,740.154238
7297.259669,15,740.979751
8500.023992,9,741.532512
7099.999813,16,742.448086
-40000.0,200,753.121161
98.148107,51,755.821358
8897.847957,7,756.275813
-40000.0,200,766.563035
9298.394013,5,766.882834
9297.828479,5,767.261103
7497.818569,14,768.216633
8198.204357,11,768.936354
9298.300692,5,769.255489
9299.546492,5,769.604745
9500.367985,4,769.911896
9091.673454,6,770.295701
7613.784179,14,771.045389
6296.036971,20,772.180614
-294.5547,54,775.25267
5497.513222,24,776.546938
9207.494645,6,776.907893
9215.200856,6,777.280889
-39787.503252,200,788.536605
9298.913005,5,788.918617
9298.159352,5,789.244306
-39699.838596,200,806.369779
9298.193358,5,806.727377
7698.090831,13,807.552914
8008.026524,12,808.241222
8893.307122,7,808.681468
9298.555132,5,809.042068
7898.281308,12,809.699047
6411.828192,20,811.089186
8093.041156,11,811.855814
9098.260499,6,812.285709
9299.287475,5,812.603489
9298.120131,5,812.944217
9501.005949,4,813.244049
9298.258759,5,813.590089
8300.539292,10,814.166102
9499.616648,4,814.523002
8296.327635,11,815.158804
9700.194453,3,815.374158
9098.014472,6,815.751007
6091.936061,21,817.010153
8097.844619,11,817.691188
5100.558567,26,819.539485
9298.240944,5,819.843728
9299.373233,5,820.163661
9300.222121,5,820.538311
9299.323037,5,820.867155
9300.133786,5,821.188191
8899.621043,7,821.651036
8897.249359,7,822.116879
8398.403331,10,822.734825
8296.868985,10,823.367407
7300.259755,15,824.183019
6999.400235,17,825.150984
9298.342723,5,825.483203
9299.238278,5,825.828847
-39691.864894,200,836.981969
9698.823578,3,837.236204
8698.417635,8,837.678827
-1294.13007,59,840.892534
9298.337193,5,841.227464
9698.378853,3,841.452283
9098.544201,6,841.872837
8000.594168,12,842.53796
9298.325342,5,842.894223
-40000.0,200,853.738063
9498.34952,4,854.036374
9298.225871,5,854.415632
9098.308124,6,854.794889
8496.629742,9,855.412093
9300.600436,5,855.812103
7998.394555,12,856.582922
9298.180411,5,856.954001
9499.15865,4,857.306827
8097.033574,11,857.979416
-40000.0,200,868.42586
9300.136313,5,868.803959
9099.266152,6,869.256971
8899.621813,7,869.729835
9697.995078,3,869.996012
8497.543231,9,870.495105
9297.779601,5,870.812879
9298.132261,5,871.1545
-40000.0,200,882.40972
8299.999966,10,882.960193
9498.43375,4,883.225991
8499.648299,9,883.768451
9297.991839,5,884.103412
9290.516788,5,884.444885
9298.442205,5,884.771252
9299.866512,5,885.095862
9298.039899,5,885.462768
9212.741628,6,885.878716
9297.778611,5,886.195582
7497.603802,14,887.062691
8495.806472,9,887.658354
8501.44898,9,888.229811
8498.18605,9,888.711074
6398.354997,20,889.787815
9097.784184,6,890.17572
9298.13845,5,890.521357
9098.162629,6,891.165455
-27511.3353,189,902.047776
9497.188061,4,902.355189
9298.299002,5,902.707049
9300.03679,5,903.04821
9097.962419,6,903.440513
9496.230502,4,903.73141
9098.269011,6,904.157867
7898.191215,12,904.883917
-29700.597373,200,916.093115
9098.383285,6,916.499325
9298.367968,5,916.79926
9298.318724,5,917.144839
8897.986171,7,917.594739
9098.688162,6,917.977463
7299.495683,15,919.021896
9298.357687,5,919.369809
9097.522629,6,919.851077
9300.081981,5,920.183475
9499.997504,4,920.495354
7698.058258,13,921.242001
9300.014751,5,921.565785
9500.591081,4,921.854074
4898.627229,27,923.51504
9698.407584,3,923.756384
9298.855055,5,924.063068
9298.251595,5,924.393955
9698.091336,3,924.647498
9296.336141,5,924.959667
9498.377923,4,925.234046
8698.918903,8,925.878378
8811.748912,8,926.393884
10000.0,1,926.527472
3099.200104,36,928.835382
9301.913212,5,929.171155
9298.088504,5,929.520409
8498.07469,9,930.113361
8109.00229,13,930.8332
9697.971183,3,931.06763
9699.111272,3,931.300934
9098.667819,6,931.705191
4899.330193,27,933.33438
7898.263449,12,934.091297
9498.244012,4,934.390872
9300.619345,5,934.771552
8698.016454,8,935.29438
9299.303363,5,935.632324
9299.382353,5,935.953101
9208.915595,6,936.307063
9298.406447,5,936.626752
-39900.154066,200,946.807857
9098.667586,6,947.183195
9697.846198,3,947.403889
8798.277477,8,948.11432
9500.234966,4,948.364034
-2203.478554,63,951.623994
9098.159832,6,952.033087
8897.540408,7,952.441169
9098.379455,6,952.837938
10000.0,1,952.997689
9298.326768,5,953.351973
8100.171379,11,953.986886
8098.068208,11,954.663947
9099.920747,6,955.117895
9298.403277,5,955.494529
8194.150605,11,956.279818
-40000.0,200,966.519623
9297.67342,5,966.888571
8700.172102,8,967.412502
9294.487581,5,967.776842
8898.320288,7,968.206249
-40000.0,200,980.332551
9498.199311,4,980.638351
7098.964269,18,981.748111
9093.738531,6,982.158508
8598.530441,9,982.705357
8807.249856,8,983.240101
10000.0,1,983.349932
8697.478782,8,983.869548
7699.999429,13,984.668676
9295.656235,5,984.999361
9298.073739,5,985.293566
9499.409559,4,985.549156
9698.740005,3,985.761193
8897.559727,7,986.192057
8900.231972,7,986.633526
9298.351751,5,986.949099
3897.793377,35,989.060351
8402.399431,10,989.735602
8900.162093,7,990.16776
9699.508942,3,990.412959
1098.973236,46,992.693197
4699.201531,28,995.00154
7097.911073,16,995.946329
9297.975997,5,996.350135
1103.406263,48,999.149086
8195.917191,11,999.860313
9294.848121,5,1000.216429
9300.861853,5,1000.678334
8500.000239,9,1001.289934
9298.280367,5,1001.625163
9098.079562,6,1002.013948
9098.155457,6,1002.398983
9097.986562,6,1002.745958
5395.509654,25,1004.00842
8898.372104,7,1004.412918
9100.220342,6,1004.827142
9299.690166,5,1005.147605
8102.284559,11,1005.82071
9699.384561,3,1006.062642
9298.29527,5,1006.452033
8097.633383,11,1007.104155
8797.843302,8,1007.629855
6694.632567,18,1008.845509
7515.319389,15,1009.656825
-39900.434557,200,1020.885539
9900.028651,2,1021.03698
8098.133505,11,1021.57049
9099.157336,6,1021.970927
9499.304639,4,1022.227884
8698.022582,8,1022.931265
9298.397943,5,1023.303535
9298.145427,5,1023.6112
9098.823272,6,1024.032759
9608.895238,4,1024.296179
510.797339,50,1026.885885
9298.046654,5,1027.324528
-40000.0,200,1038.047781
7298.809187,15,1038.915193
7897.844474,12,1039.800979
5600.687871,24,1041.214622
8308.070358,11,1041.929019
6904.000012,18,1043.16142
8005.01709,12,1043.959332
-40000.0,200,1057.38269
9698.885921,3,1057.597359
-30299.999932,200,1069.113691
9297.80796,5,1069.44326
8400.595516,10,1070.075994
4698.245728,28,1071.642114
6699.150512,18,1072.655693
9498.447718,4,1072.938525
9297.223955,5,1073.274743
9298.206363,5,1073.585476
1001.920598,47,1076.13284
8897.272782,7,1076.567525
-40000.0,200,1088.858464
8696.875383,8,1089.350713
9299.337986,5,1089.701452
9297.274139,5,1090.058566
8698.005555,8,1090.555833
8699.486906,8,1091.120418
9298.279004,5,1091.459731
9298.006003,5,1091.804076
