#{"t_start": 1595862463.168139, "env_id": "gripper-env-v0"}
r,s,l,t
1.0,0.114,23,29961.367698
0.0,0.114,22,29962.171147
1.0,0.115,22,29963.139757
0.0,0.115,17,29964.055487
1.0,0.116,22,29965.026452
0.0,0.116,15,29965.656785
0.0,0.116,15,29966.54749
0.0,0.116,6,29966.904291
0.0,0.116,5,29967.20839
1.0,0.117,23,29968.561793
0.0,0.117,7,29968.930371
0.0,0.117,22,29969.772928
0.0,0.117,5,29970.209466
0.0,0.117,22,29971.596382
0.0,0.117,22,29972.720614
0.0,0.117,22,29974.009336
0.0,0.117,23,29974.949844
0.0,0.117,11,29975.566389
0.0,0.117,17,29976.266836
0.0,0.117,22,29977.060717
0.0,0.117,22,29977.934553
0.0,0.117,22,29978.835963
0.0,0.117,9,29979.272805
0.0,0.117,22,29980.29126
0.0,0.116,18,29981.077442
0.0,0.116,17,29981.726711
0.0,0.116,14,29982.313456
0.0,0.116,11,29982.852049
1.0,0.117,22,29983.813713
0.0,0.117,22,29984.678299
0.0,0.117,16,29985.261171
1.0,0.117,23,29986.435
0.0,0.116,16,29987.210407
0.0,0.116,16,29987.857177
0.0,0.116,12,29988.495255
1.0,0.117,22,29990.121395
0.0,0.117,22,29991.076062
0.0,0.117,22,29992.020071
0.0,0.117,16,29992.82251
0.0,0.117,22,29993.676248
0.0,0.117,22,29995.064595
0.0,0.116,18,29995.811754
0.0,0.116,12,29996.306667
0.0,0.116,22,29997.246108
0.0,0.116,6,29997.571192
0.0,0.116,22,29998.485502
0.0,0.116,11,29998.907122
1.0,0.116,22,30001.363646
0.0,0.116,22,30003.093214
0.0,0.115,22,30004.061245
0.0,0.115,22,30005.063904
0.0,0.115,10,30005.551522
0.0,0.115,17,30006.244779
1.0,0.116,22,30007.300585
0.0,0.116,3,30007.500128
0.0,0.116,3,30007.68067
0.0,0.116,12,30008.165692
0.0,0.116,12,30008.807871
0.0,0.116,22,30009.637269
0.0,0.116,22,30010.604769
0.0,0.116,22,30011.429796
0.0,0.116,22,30012.418196
0.0,0.116,22,30013.668329
0.0,0.116,22,30014.509966
0.0,0.116,22,30015.770988
0.0,0.116,8,30016.138158
0.0,0.116,12,30016.632311
1.0,0.117,22,30017.673165
0.0,0.117,22,30018.991787
0.0,0.117,22,30019.743372
0.0,0.117,16,30020.408767
0.0,0.117,14,30021.502937
0.0,0.117,17,30022.225877
0.0,0.117,18,30023.210343
0.0,0.117,16,30023.986418
0.0,0.117,22,30024.971045
0.0,0.117,11,30025.500496
0.0,0.117,17,30026.211308
0.0,0.117,17,30026.887523
0.0,0.117,22,30027.712695
0.0,0.116,22,30028.559937
0.0,0.116,11,30029.085266
0.0,0.115,17,30030.1407
0.0,0.115,19,30031.068424
0.0,0.115,17,30031.743726
0.0,0.115,22,30032.724345
0.0,0.115,22,30033.583619
0.0,0.115,11,30034.096132
0.0,0.115,16,30034.728862
0.0,0.115,12,30035.258338
0.0,0.115,22,30036.213288
0.0,0.114,22,30037.085487
0.0,0.113,16,30037.71345
1.0,0.114,22,30039.060318
0.0,0.114,10,30039.535047
0.0,0.114,22,30040.340436
0.0,0.114,13,30041.046499
0.0,0.114,17,30041.875915
0.0,0.114,22,30042.710899
0.0,0.114,22,30043.586921
1.0,0.115,22,30044.778954
0.0,0.115,22,30045.601038
0.0,0.115,17,30046.416011
0.0,0.114,8,30046.835066
0.0,0.114,3,30047.035192
0.0,0.114,5,30047.345428
1.0,0.115,22,30048.532162
0.0,0.115,14,30049.118013
0.0,0.115,18,30050.04442
0.0,0.114,16,30050.729738
0.0,0.114,22,30051.597582
0.0,0.114,22,30052.766398
0.0,0.114,22,30053.589411
1.0,0.115,22,30054.897453
0.0,0.114,22,30056.426881
0.0,0.114,11,30056.897973
0.0,0.114,22,30057.86556
0.0,0.114,16,30058.518025
0.0,0.114,5,30058.762659
0.0,0.114,3,30058.976081
0.0,0.114,7,30059.29944
0.0,0.114,11,30059.787146
0.0,0.113,8,30060.109251
0.0,0.113,19,30060.81801
1.0,0.114,22,30061.925382
0.0,0.114,16,30062.587144
0.0,0.114,22,30063.809419
0.0,0.114,17,30064.623666
0.0,0.114,22,30065.513442
0.0,0.113,16,30066.296991
0.0,0.113,22,30067.182626
0.0,0.113,22,30068.00313
0.0,0.113,19,30068.771425
0.0,0.113,22,30069.679726
0.0,0.113,16,30070.407032
0.0,0.113,16,30071.303421
0.0,0.113,22,30072.728127
0.0,0.113,14,30073.389936
0.0,0.113,22,30074.283391
1.0,0.114,22,30075.358223
0.0,0.114,22,30079.928227
0.0,0.114,8,30080.375646
0.0,0.113,13,30081.024748
0.0,0.112,16,30081.683394
0.0,0.112,9,30082.19152
0.0,0.112,17,30082.962952
0.0,0.112,13,30083.562709
1.0,0.113,22,30084.788839
0.0,0.112,17,30085.570227
0.0,0.111,3,30085.773452
0.0,0.111,8,30086.366338
0.0,0.111,17,30087.203306
0.0,0.11,22,30088.149257
0.0,0.11,22,30089.412458
0.0,0.11,13,30090.056319
0.0,0.11,22,30090.932561
0.0,0.11,16,30091.791301
0.0,0.11,22,30092.703695
1.0,0.111,22,30093.895957
0.0,0.11,15,30094.537021
0.0,0.11,20,30095.43611
0.0,0.11,13,30095.984442
0.0,0.11,21,30096.900272
0.0,0.11,22,30097.847908
0.0,0.11,22,30098.676797
0.0,0.11,9,30100.231591
0.0,0.11,12,30100.80389
0.0,0.11,18,30101.449158
1.0,0.111,22,30102.407372
0.0,0.111,7,30102.717251
0.0,0.11,22,30103.565072
0.0,0.11,16,30104.236876
0.0,0.11,11,30104.725813
0.0,0.11,18,30106.631716
0.0,0.11,3,30106.808169
0.0,0.11,16,30107.586059
0.0,0.11,16,30108.442194
0.0,0.11,17,30109.342956
0.0,0.11,22,30110.179906
0.0,0.11,19,30111.686946
0.0,0.11,17,30112.363854
0.0,0.109,19,30113.243982
0.0,0.109,20,30114.180092
0.0,0.108,16,30114.899825
0.0,0.108,17,30115.8063
0.0,0.108,18,30116.767173
0.0,0.108,8,30117.145056
0.0,0.107,18,30117.96479
0.0,0.107,12,30118.474236
1.0,0.108,22,30119.571158
0.0,0.108,9,30120.187944
0.0,0.108,23,30121.321246
0.0,0.108,10,30121.99961
0.0,0.108,6,30122.339551
0.0,0.108,16,30122.989315
0.0,0.108,5,30123.205782
1.0,0.109,22,30124.23098
0.0,0.109,10,30124.81226
0.0,0.109,7,30125.152806
0.0,0.109,14,30125.80128
1.0,0.11,22,30126.758395
0.0,0.109,16,30127.366107
0.0,0.108,4,30127.59922
0.0,0.108,11,30128.121104
0.0,0.108,10,30128.62696
0.0,0.108,16,30129.343161
0.0,0.108,13,30130.20717
