#{"t_start": 1597053065.1545777, "env_id": "gripper-env-v0"}
r,s,l,c,timesteps,t
1.0,0.879,44,1.0,2700646,153280.538319
1.0,0.879,44,1.0,2700690,153283.073669
1.0,0.879,44,1.0,2700734,153285.669008
1.0,0.879,44,1.0,2700778,153288.777574
1.0,0.879,44,1.0,2700822,153292.236266
1.0,0.879,44,1.0,2700866,153294.846841
1.0,0.879,44,1.0,2700910,153297.119834
1.0,0.879,44,1.0,2700954,153299.692379
1.0,0.879,44,1.0,2700998,153302.084126
1.0,0.879,44,1.0,2701042,153305.729875
1.0,0.879,44,1.0,2701086,153308.250288
0.0,0.878,42,1.0,2701128,153310.578758
1.0,0.878,44,1.0,2701172,153313.37011
1.0,0.878,44,1.0,2701216,153315.848634
0.0,0.877,44,1.0,2701260,153318.200849
1.0,0.877,44,1.0,2701304,153321.027764
0.0,0.876,38,1.0,2701342,153323.449131
1.0,0.876,44,1.0,2701386,153325.770897
1.0,0.876,44,1.0,2701430,153328.487291
1.0,0.876,44,1.0,2701474,153331.262793
1.0,0.876,44,1.0,2701518,153333.824913
1.0,0.876,44,1.0,2701562,153337.588673
0.0,0.875,38,1.0,2701600,153339.708531
1.0,0.875,44,1.0,2701644,153342.480755
1.0,0.876,44,1.0,2701688,153345.968037
1.0,0.876,44,1.0,2701732,153348.300309
1.0,0.876,44,1.0,2701776,153351.45464
1.0,0.876,44,1.0,2701820,153353.906067
1.0,0.876,44,1.0,2701864,153356.415428
1.0,0.876,44,1.0,2701908,153358.508084
1.0,0.876,44,1.0,2701952,153361.777598
1.0,0.876,44,1.0,2701996,153366.104958
1.0,0.876,44,1.0,2702040,153368.322306
1.0,0.877,44,1.0,2702084,153371.014664
0.0,0.876,30,1.0,2702114,153372.564683
1.0,0.876,44,1.0,2702158,153375.55388
1.0,0.876,44,1.0,2702202,153378.269697
1.0,0.876,44,1.0,2702246,153380.612497
1.0,0.876,44,1.0,2702290,153382.869966
0.0,0.875,38,1.0,2702328,153386.035558
1.0,0.876,44,1.0,2702372,153388.800765
1.0,0.876,44,1.0,2702416,153391.540725
0.0,0.875,44,1.0,2702460,153393.789798
1.0,0.875,44,1.0,2702504,153396.119558
1.0,0.875,44,1.0,2702548,153398.629921
1.0,0.875,44,1.0,2702592,153401.096314
1.0,0.875,44,1.0,2702636,153404.440645
1.0,0.875,44,1.0,2702680,153406.759911
1.0,0.875,44,1.0,2702724,153409.028247
1.0,0.876,44,1.0,2702768,153411.589506
0.0,0.875,38,1.0,2702806,153413.649136
1.0,0.875,44,1.0,2702850,153416.271204
1.0,0.875,44,1.0,2702894,153418.790258
1.0,0.875,44,1.0,2702938,153421.189729
1.0,0.875,44,1.0,2702982,153423.753732
1.0,0.875,44,1.0,2703026,153426.588526
1.0,0.875,44,1.0,2703070,153429.149316
1.0,0.875,44,1.0,2703114,153431.461829
1.0,0.875,44,1.0,2703158,153434.253135
1.0,0.875,44,1.0,2703202,153436.750541
1.0,0.875,44,1.0,2703246,153439.062155
1.0,0.876,44,1.0,2703290,153441.716437
1.0,0.876,44,1.0,2703334,153444.32351
0.0,0.875,43,1.0,2703377,153446.56099
1.0,0.875,44,1.0,2703421,153448.843139
1.0,0.875,44,1.0,2703465,153451.259021
1.0,0.875,44,1.0,2703509,153454.05935
1.0,0.875,44,1.0,2703553,153456.640225
1.0,0.875,44,1.0,2703597,153459.22409
1.0,0.875,44,1.0,2703641,153462.192117
1.0,0.875,44,1.0,2703685,153464.382812
1.0,0.875,44,1.0,2703729,153467.552058
1.0,0.875,44,1.0,2703773,153470.408321
1.0,0.875,44,1.0,2703817,153472.578854
1.0,0.875,44,1.0,2703861,153475.172942
1.0,0.875,44,1.0,2703905,153478.155523
0.0,0.874,44,1.0,2703949,153480.47226
1.0,0.874,44,1.0,2703993,153484.177079
1.0,0.874,44,1.0,2704037,153486.45099
1.0,0.874,44,1.0,2704081,153488.862355
1.0,0.874,44,1.0,2704125,153492.449692
1.0,0.874,44,1.0,2704169,153495.581031
1.0,0.874,44,1.0,2704213,153500.007756
1.0,0.874,44,1.0,2704257,153502.644839
1.0,0.874,44,1.0,2704301,153505.488472
0.0,0.874,40,1.0,2704341,153507.387771
1.0,0.875,44,1.0,2704385,153513.34988
1.0,0.875,44,1.0,2704429,153516.501214
1.0,0.875,44,1.0,2704473,153519.349636
1.0,0.875,44,1.0,2704517,153522.314636
1.0,0.875,44,1.0,2704561,153525.571624
0.0,0.875,34,1.0,2704595,153527.908866
1.0,0.875,44,1.0,2704639,153530.854762
1.0,0.875,44,1.0,2704683,153533.462867
1.0,0.875,44,1.0,2704727,153536.461289
0.0,0.874,44,1.0,2704771,153538.594088
0.0,0.873,44,1.0,2704815,153541.263224
1.0,0.874,44,1.0,2704859,153544.038719
1.0,0.875,44,1.0,2704903,153547.045893
1.0,0.876,44,1.0,2704947,153549.604933
1.0,0.876,44,1.0,2704991,153553.0121
1.0,0.876,44,1.0,2705035,153556.413174
0.0,0.875,41,1.0,2705076,153558.730623
1.0,0.875,44,1.0,2705120,153560.989658
0.0,0.874,36,1.0,2705156,153563.493818
1.0,0.874,44,1.0,2705200,153566.000002
1.0,0.874,44,1.0,2705244,153568.162995
1.0,0.874,45,1.0,2705289,153570.698017
1.0,0.874,44,1.0,2705333,153573.723238
1.0,0.874,44,1.0,2705377,153576.196267
1.0,0.874,44,1.0,2705421,153578.567481
1.0,0.874,44,1.0,2705465,153581.497885
1.0,0.875,44,1.0,2705509,153583.870386
0.0,0.874,39,1.0,2705548,153585.81126
1.0,0.874,44,1.0,2705592,153588.930612
1.0,0.874,44,1.0,2705636,153591.570884
1.0,0.875,44,1.0,2705680,153594.414016
1.0,0.875,44,1.0,2705724,153596.689721
1.0,0.875,44,1.0,2705768,153599.72887
1.0,0.875,44,1.0,2705812,153602.626459
1.0,0.876,44,1.0,2705856,153605.193093
1.0,0.877,44,1.0,2705900,153607.772856
1.0,0.877,44,1.0,2705944,153609.737073
1.0,0.877,44,1.0,2705988,153612.548176
1.0,0.877,44,1.0,2706032,153616.546279
1.0,0.878,44,1.0,2706076,153619.820111
1.0,0.878,44,1.0,2706120,153622.580765
1.0,0.879,44,1.0,2706164,153625.056468
1.0,0.88,44,1.0,2706208,153629.020712
1.0,0.88,44,1.0,2706252,153632.53299
1.0,0.88,44,1.0,2706296,153635.226902
1.0,0.88,44,1.0,2706340,153637.77582
1.0,0.88,44,1.0,2706384,153640.285606
1.0,0.881,44,1.0,2706428,153642.744874
1.0,0.881,44,1.0,2706472,153645.270755
1.0,0.881,44,1.0,2706516,153648.180857
0.0,0.88,40,1.0,2706556,153650.408135
1.0,0.88,44,1.0,2706600,153653.098763
1.0,0.88,44,1.0,2706644,153655.536644
1.0,0.88,44,1.0,2706688,153658.654938
1.0,0.881,44,1.0,2706732,153661.050986
1.0,0.881,44,1.0,2706776,153663.987956
1.0,0.881,44,1.0,2706820,153666.396731
1.0,0.881,44,1.0,2706864,153669.253786
1.0,0.881,44,1.0,2706908,153672.342959
1.0,0.881,44,1.0,2706952,153674.927684
1.0,0.881,44,1.0,2706996,153677.641816
0.0,0.88,44,1.0,2707040,153681.76988
1.0,0.88,44,1.0,2707084,153684.56109
1.0,0.88,44,1.0,2707128,153687.30666
1.0,0.88,44,1.0,2707172,153689.430129
1.0,0.88,44,1.0,2707216,153692.288176
1.0,0.881,44,1.0,2707260,153695.267159
1.0,0.881,44,1.0,2707304,153697.765525
1.0,0.881,44,1.0,2707348,153700.53983
1.0,0.881,44,1.0,2707392,153702.95013
1.0,0.881,44,1.0,2707436,153706.085281
1.0,0.882,44,1.0,2707480,153708.359159
1.0,0.882,44,1.0,2707524,153711.772138
1.0,0.882,44,1.0,2707568,153714.292681
1.0,0.883,44,1.0,2707612,153718.068942
0.0,0.882,39,1.0,2707651,153720.690534
0.0,0.881,41,1.0,2707692,153723.07616
1.0,0.881,44,1.0,2707736,153725.833452
1.0,0.881,44,1.0,2707780,153728.125746
1.0,0.881,44,1.0,2707824,153730.509359
1.0,0.882,45,1.0,2707869,153733.650853
1.0,0.882,44,1.0,2707913,153735.764441
1.0,0.882,44,1.0,2707957,153738.153905
1.0,0.882,44,1.0,2708001,153740.773336
1.0,0.882,44,1.0,2708045,153743.732548
1.0,0.882,44,1.0,2708089,153746.113991
0.0,0.881,44,1.0,2708133,153748.741122
1.0,0.881,44,1.0,2708177,153751.15088
0.0,0.88,38,1.0,2708215,153754.007029
1.0,0.88,44,1.0,2708259,153757.12376
1.0,0.88,44,1.0,2708303,153759.84386
1.0,0.88,44,1.0,2708347,153762.251213
1.0,0.88,45,1.0,2708392,153766.165433
1.0,0.88,45,1.0,2708437,153768.918414
1.0,0.88,44,1.0,2708481,153772.75907
1.0,0.88,44,1.0,2708525,153775.603045
0.0,0.879,44,1.0,2708569,153778.031149
1.0,0.879,44,1.0,2708613,153780.97611
1.0,0.879,44,1.0,2708657,153785.009432
1.0,0.879,44,1.0,2708701,153787.530531
1.0,0.88,44,1.0,2708745,153789.904852
1.0,0.88,44,1.0,2708789,153792.898435
1.0,0.88,44,1.0,2708833,153796.028507
1.0,0.88,44,1.0,2708877,153798.849
0.0,0.879,44,1.0,2708921,153800.860238
1.0,0.88,44,1.0,2708965,153802.967339
1.0,0.88,44,1.0,2709009,153806.905287
0.0,0.879,38,1.0,2709047,153809.263366
1.0,0.879,44,1.0,2709091,153811.873691
1.0,0.879,44,1.0,2709135,153814.798296
1.0,0.88,44,1.0,2709179,153817.383196
1.0,0.88,44,1.0,2709223,153819.702882
0.0,0.88,41,1.0,2709264,153822.01263
1.0,0.88,44,1.0,2709308,153824.344506
1.0,0.88,44,1.0,2709352,153826.914387
1.0,0.88,44,1.0,2709396,153829.560079
0.0,0.879,38,1.0,2709434,153831.462822
1.0,0.879,44,1.0,2709478,153834.654905
1.0,0.879,44,1.0,2709522,153837.731602
1.0,0.879,44,1.0,2709566,153839.734412
1.0,0.879,44,1.0,2709610,153841.89734
1.0,0.879,44,1.0,2709654,153845.15195
0.0,0.878,31,1.0,2709685,153846.791916
1.0,0.878,44,1.0,2709729,153849.337476
0.0,0.877,40,1.0,2709769,153851.661652
1.0,0.877,44,1.0,2709813,153854.264578
1.0,0.877,44,1.0,2709857,153856.445251
1.0,0.878,44,1.0,2709901,153859.219263
1.0,0.879,44,1.0,2709945,153861.720167
1.0,0.879,44,1.0,2709989,153864.468978
1.0,0.879,44,1.0,2710033,153867.587308
1.0,0.879,44,1.0,2710077,153870.470159
1.0,0.879,44,1.0,2710121,153873.120759
1.0,0.879,44,1.0,2710165,153875.468101
1.0,0.879,44,1.0,2710209,153877.725489
1.0,0.879,44,1.0,2710253,153880.289366
1.0,0.879,44,1.0,2710297,153883.210839
1.0,0.88,44,1.0,2710341,153885.553882
1.0,0.88,44,1.0,2710385,153887.666753
1.0,0.88,44,1.0,2710429,153889.711858
1.0,0.88,44,1.0,2710473,153892.454451
1.0,0.88,44,1.0,2710517,153895.466255
1.0,0.88,44,1.0,2710561,153897.57749
1.0,0.881,44,1.0,2710605,153899.933423
1.0,0.881,44,1.0,2710649,153902.433291
1.0,0.881,44,1.0,2710693,153905.083508
1.0,0.881,44,1.0,2710737,153907.648212
1.0,0.881,44,1.0,2710781,153909.93912
1.0,0.881,44,1.0,2710825,153913.111191
1.0,0.881,44,1.0,2710869,153916.714538
1.0,0.881,44,1.0,2710913,153919.027192
1.0,0.881,44,1.0,2710957,153921.478419
1.0,0.881,44,1.0,2711001,153923.65883
1.0,0.881,44,1.0,2711045,153925.877393
1.0,0.881,44,1.0,2711089,153928.536698
1.0,0.881,44,1.0,2711133,153931.83037
0.0,0.88,42,1.0,2711175,153934.649767
1.0,0.88,44,1.0,2711219,153937.233836
1.0,0.881,44,1.0,2711263,153939.963926
0.0,0.88,44,1.0,2711307,153942.907167
1.0,0.88,44,1.0,2711351,153946.242171
1.0,0.88,44,1.0,2711395,153949.061408
1.0,0.88,44,1.0,2711439,153952.888236
0.0,0.879,44,1.0,2711483,153954.863505
1.0,0.879,44,1.0,2711527,153958.759274
1.0,0.88,44,1.0,2711571,153961.291026
1.0,0.88,44,1.0,2711615,153964.511096
1.0,0.88,44,1.0,2711659,153966.920742
1.0,0.88,44,1.0,2711703,153969.471383
1.0,0.881,44,1.0,2711747,153972.253635
1.0,0.881,44,1.0,2711791,153974.687732
1.0,0.881,44,1.0,2711835,153976.822666
1.0,0.881,44,1.0,2711879,153979.11189
1.0,0.881,44,1.0,2711923,153981.866477
1.0,0.881,44,1.0,2711967,153984.108111
1.0,0.881,44,1.0,2712011,153986.548678
1.0,0.881,44,1.0,2712055,153990.356354
1.0,0.882,44,1.0,2712099,153992.493636
1.0,0.882,44,1.0,2712143,153994.931323
1.0,0.882,44,1.0,2712187,153997.443233
1.0,0.882,44,1.0,2712231,154000.330675
1.0,0.882,44,1.0,2712275,154003.211104
1.0,0.882,44,1.0,2712319,154006.961731
1.0,0.882,44,1.0,2712363,154009.795976
1.0,0.882,44,1.0,2712407,154012.188653
1.0,0.882,44,1.0,2712451,154014.559466
1.0,0.882,44,1.0,2712495,154016.557746
1.0,0.882,44,1.0,2712539,154018.914912
1.0,0.883,44,1.0,2712583,154022.269305
1.0,0.883,44,1.0,2712627,154026.017745
1.0,0.883,44,1.0,2712671,154030.165031
1.0,0.884,44,1.0,2712715,154033.802581
1.0,0.884,44,1.0,2712759,154036.484879
1.0,0.884,44,1.0,2712803,154040.081979
1.0,0.885,44,1.0,2712847,154043.422043
1.0,0.886,44,1.0,2712891,154046.626262
1.0,0.886,44,1.0,2712935,154049.200414
1.0,0.886,44,1.0,2712979,154052.363763
1.0,0.886,44,1.0,2713023,154055.712152
0.0,0.885,38,1.0,2713061,154057.604672
1.0,0.885,44,1.0,2713105,154060.164242
1.0,0.885,44,1.0,2713149,154062.357329
1.0,0.885,44,1.0,2713193,154065.766041
1.0,0.885,44,1.0,2713237,154068.259809
1.0,0.885,44,1.0,2713281,154070.952834
1.0,0.885,44,1.0,2713325,154073.629116
1.0,0.885,44,1.0,2713369,154076.106282
1.0,0.885,44,1.0,2713413,154078.499473
1.0,0.886,44,1.0,2713457,154081.068403
1.0,0.886,44,1.0,2713501,154083.735056
1.0,0.886,44,1.0,2713545,154086.208899
0.0,0.885,44,1.0,2713589,154089.357116
1.0,0.886,44,1.0,2713633,154092.230345
1.0,0.887,44,1.0,2713677,154094.639236
1.0,0.887,44,1.0,2713721,154097.017136
1.0,0.888,44,1.0,2713765,154099.708606
1.0,0.888,44,1.0,2713809,154102.136009
1.0,0.888,44,1.0,2713853,154104.453108
1.0,0.888,44,1.0,2713897,154108.129327
1.0,0.888,44,1.0,2713941,154110.228935
1.0,0.888,44,1.0,2713985,154113.280874
0.0,0.887,38,1.0,2714023,154115.100559
1.0,0.887,44,1.0,2714067,154117.633581
0.0,0.886,44,1.0,2714111,154119.922447
1.0,0.886,44,1.0,2714155,154123.948648
1.0,0.886,44,1.0,2714199,154126.060392
1.0,0.886,44,1.0,2714243,154129.463986
1.0,0.887,44,1.0,2714287,154132.20352
1.0,0.887,44,1.0,2714331,154134.56818
1.0,0.887,44,1.0,2714375,154137.909329
1.0,0.887,44,1.0,2714419,154140.247333
1.0,0.887,44,1.0,2714463,154142.809056
1.0,0.887,44,1.0,2714507,154145.665157
1.0,0.887,44,1.0,2714551,154148.315252
1.0,0.887,44,1.0,2714595,154151.117375
1.0,0.887,44,1.0,2714639,154153.604632
1.0,0.887,44,1.0,2714683,154156.018013
1.0,0.887,44,1.0,2714727,154158.442969
1.0,0.888,44,1.0,2714771,154160.891691
1.0,0.888,44,1.0,2714815,154163.622113
1.0,0.888,44,1.0,2714859,154165.844045
1.0,0.889,44,1.0,2714903,154168.852221
1.0,0.889,44,1.0,2714947,154171.48914
1.0,0.889,44,1.0,2714991,154174.336164
1.0,0.889,44,1.0,2715035,154176.691198
1.0,0.889,44,1.0,2715079,154179.740872
1.0,0.889,44,1.0,2715123,154182.049614
1.0,0.889,44,1.0,2715167,154184.122449
1.0,0.889,44,1.0,2715211,154186.719471
0.0,0.889,36,1.0,2715247,154188.722304
1.0,0.889,44,1.0,2715291,154191.384032
1.0,0.889,44,1.0,2715335,154193.801754
0.0,0.888,44,1.0,2715379,154196.119841
1.0,0.888,44,1.0,2715423,154198.663634
1.0,0.888,44,1.0,2715467,154201.595667
1.0,0.888,44,1.0,2715511,154203.775011
1.0,0.888,44,1.0,2715555,154206.572594
1.0,0.888,44,1.0,2715599,154210.901717
1.0,0.888,44,1.0,2715643,154214.907482
1.0,0.888,44,1.0,2715687,154217.601125
1.0,0.888,44,1.0,2715731,154219.856152
1.0,0.888,44,1.0,2715775,154222.371705
1.0,0.888,44,1.0,2715819,154227.518353
1.0,0.888,44,1.0,2715863,154230.174219
1.0,0.888,44,1.0,2715907,154232.935751
1.0,0.888,44,1.0,2715951,154235.841594
0.0,0.887,44,1.0,2715995,154239.671247
1.0,0.887,44,1.0,2716039,154242.759184
1.0,0.887,44,1.0,2716083,154246.268238
1.0,0.888,44,1.0,2716127,154248.975954
1.0,0.888,44,1.0,2716171,154251.40649
1.0,0.888,44,1.0,2716215,154254.23467
1.0,0.888,44,1.0,2716259,154256.876469
1.0,0.888,44,1.0,2716303,154260.112312
1.0,0.888,44,1.0,2716347,154262.801284
1.0,0.888,44,1.0,2716391,154265.195423
1.0,0.888,44,1.0,2716435,154267.834908
1.0,0.888,44,1.0,2716479,154270.599461
1.0,0.888,44,1.0,2716523,154273.075019
1.0,0.888,44,1.0,2716567,154275.746181
1.0,0.888,44,1.0,2716611,154279.564995
1.0,0.888,44,1.0,2716655,154282.407307
1.0,0.888,44,1.0,2716699,154285.139425
1.0,0.888,44,1.0,2716743,154287.71823
1.0,0.888,44,1.0,2716787,154290.044294
1.0,0.888,44,1.0,2716831,154292.362571
1.0,0.888,44,1.0,2716875,154294.488548
1.0,0.888,44,1.0,2716919,154298.371633
1.0,0.889,44,1.0,2716963,154301.283621
1.0,0.89,44,1.0,2717007,154304.530486
1.0,0.89,44,1.0,2717051,154307.33233
1.0,0.89,44,1.0,2717095,154310.355758
1.0,0.89,44,1.0,2717139,154312.688479
1.0,0.891,44,1.0,2717183,154315.740764
0.0,0.89,41,1.0,2717224,154317.713473
0.0,0.889,26,1.0,2717250,154319.134818
1.0,0.889,44,1.0,2717294,154322.033411
1.0,0.889,44,1.0,2717338,154324.512867
1.0,0.889,44,1.0,2717382,154327.282224
1.0,0.889,44,1.0,2717426,154329.641547
1.0,0.889,44,1.0,2717470,154332.060152
1.0,0.889,44,1.0,2717514,154334.628171
1.0,0.889,44,1.0,2717558,154337.118254
1.0,0.889,44,1.0,2717602,154340.735528
1.0,0.889,44,1.0,2717646,154342.846002
1.0,0.889,44,1.0,2717690,154345.243911
1.0,0.889,44,1.0,2717734,154347.903439
1.0,0.889,44,1.0,2717778,154350.730028
1.0,0.889,44,1.0,2717822,154353.146224
1.0,0.889,44,1.0,2717866,154357.105952
1.0,0.889,44,1.0,2717910,154360.241808
1.0,0.889,45,1.0,2717955,154363.497178
1.0,0.889,44,1.0,2717999,154366.067988
1.0,0.889,44,1.0,2718043,154368.636559
1.0,0.889,44,1.0,2718087,154371.448911
1.0,0.889,44,1.0,2718131,154374.748204
1.0,0.889,44,1.0,2718175,154377.65967
1.0,0.889,44,1.0,2718219,154380.339072
1.0,0.889,44,1.0,2718263,154383.854489
1.0,0.889,44,1.0,2718307,154386.0979
1.0,0.889,44,1.0,2718351,154388.578513
1.0,0.889,44,1.0,2718395,154391.278821
1.0,0.889,44,1.0,2718439,154395.510877
1.0,0.889,44,1.0,2718483,154397.981826
1.0,0.889,44,1.0,2718527,154400.570559
1.0,0.89,44,1.0,2718571,154404.205266
1.0,0.89,44,1.0,2718615,154407.069343
1.0,0.89,44,1.0,2718659,154410.059324
1.0,0.89,44,1.0,2718703,154414.653337
1.0,0.89,44,1.0,2718747,154417.178581
1.0,0.891,44,1.0,2718791,154420.744158
0.0,0.89,40,1.0,2718831,154422.465535
1.0,0.89,44,1.0,2718875,154425.179853
1.0,0.891,44,1.0,2718919,154427.640048
1.0,0.891,44,1.0,2718963,154429.996926
0.0,0.89,36,1.0,2718999,154431.789599
1.0,0.89,44,1.0,2719043,154434.655058
1.0,0.891,44,1.0,2719087,154437.347362
1.0,0.891,44,1.0,2719131,154440.836072
