#{"t_start": 1628511158.2394655, "env_id": "gripper-env-v0"}
r,l,t
7603.777051,17,50692.601828
8491.150835,12,50693.995082
8487.758186,12,50695.407892
7010.733171,20,50697.513902
8286.732161,13,50698.472156
8382.47525,12,50699.315643
7590.764072,16,50700.556626
7312.144728,19,50701.891966
8293.279174,13,50703.031927
7877.616139,15,50704.226243
8290.27143,13,50705.312636
8695.262199,11,50706.421782
8185.017543,13,50707.609348
8182.334049,13,50708.996873
5979.965224,24,50711.133287
8699.291356,11,50712.219685
7691.450517,17,50713.572065
7888.474451,15,50715.680032
8496.092087,12,50716.672014
4289.800406,33,50719.358231
7315.231983,19,50720.782632
8783.795476,10,50721.585013
7412.433687,18,50722.969828
3870.736356,38,50726.097769
7889.22771,15,50727.311303
6511.496741,23,50729.465603
8285.473196,13,50731.279929
6908.001449,21,50732.983025
3427.669094,40,50736.196739
2477.806132,45,50739.432203
8697.975985,11,50740.22247
7311.961795,19,50741.580502
7694.621757,16,50743.006038
8188.410135,13,50744.025447
8587.947288,11,50744.893586
8589.642014,11,50745.80088
8579.716268,11,50746.594056
-39208.186105,200,50757.737102
5084.101463,30,50760.478713
6783.906788,20,50762.264664
8378.955762,12,50763.59849
7312.468849,19,50765.58471
8898.311256,10,50766.441296
8182.544731,13,50767.352018
7174.725941,18,50769.405433
3054.600731,43,50772.495811
8588.194804,11,50773.77223
8188.77161,13,50774.812942
8487.434162,12,50775.89007
8688.925011,11,50776.861136
6871.645845,20,50778.343471
8587.415569,11,50779.402086
8787.683192,10,50780.584063
5884.761756,25,50782.332508
8497.991379,12,50783.323931
8491.483634,12,50784.436869
-4143.329578,79,50790.226118
8385.108497,12,50791.235081
4979.498314,29,50793.43724
8779.700397,10,50794.146307
6785.720559,20,50795.651349
-40000.0,200,50810.852891
7906.187489,16,50812.222184
8496.337773,12,50813.182576
7695.56427,16,50814.55646
6146.615393,26,50816.364773
8694.329838,11,50817.24033
8495.333073,12,50818.40403
6804.460214,21,50820.039055
8288.489177,13,50820.970391
8496.249562,12,50821.981789
-39779.510113,200,50832.456181
8891.450649,10,50833.19474
5982.490959,24,50834.957274
8292.019912,13,50835.805818
8381.577016,12,50836.743299
6227.082769,25,50838.503401
4899.570873,30,50840.785551
5875.510455,29,50842.73888
8493.306503,12,50843.659124
8185.033714,13,50844.566183
4859.357869,32,50846.838537
8984.724019,9,50847.660275
7315.886329,19,50849.970106
7890.90194,15,50851.212588
8778.307106,10,50852.505139
8188.566175,13,50853.454591
6153.810183,26,50855.454748
7884.365666,15,50856.580552
8181.982734,13,50858.015596
8388.634879,12,50858.910903
8380.919838,12,50859.786191
8496.759583,12,50861.072747
5638.720461,29,50863.068474
8102.862892,14,50864.350568
8489.592951,12,50865.356503
3668.310902,36,50867.675998
8380.384087,12,50868.746127
8386.206548,12,50869.732764
8694.298555,11,50870.586879
6089.057509,24,50872.337124
8179.863855,13,50873.405219
8583.863369,11,50874.520067
6478.50533,22,50876.171974
8580.030157,11,50877.064537
7982.654978,15,50878.529392
7478.648545,17,50879.992386
8299.489968,13,50881.10642
8494.455561,12,50881.948805
8780.826203,10,50882.766531
8697.91292,11,50883.719451
5106.214528,30,50885.781938
7488.352828,17,50887.009071
7697.739071,16,50888.21212
4777.214508,30,50890.203411
8773.906953,10,50891.227981
7694.82932,16,50892.517751
7492.016532,17,50893.791147
3162.958332,42,50896.80655
7923.653161,16,50898.06605
8692.101392,11,50898.942728
8498.190727,12,50899.936166
8391.348911,12,50901.185872
7599.218766,17,50902.860119
8294.571401,13,50903.8499
8088.303034,14,50904.813293
-1304.338883,61,50909.553637
8890.502122,10,50910.298873
8892.700918,10,50911.082551
8698.45871,11,50912.047635
8583.496218,11,50913.540273
8574.625171,11,50914.322156
7696.110961,16,50915.734593
8384.26043,12,50916.598232
8489.074955,12,50917.529289
6101.080893,24,50919.500013
3490.227573,37,50922.725822
6006.029839,25,50924.400977
6092.018329,24,50926.048569
5304.382699,29,50928.417089
8381.594959,12,50929.52961
7787.95592,15,50930.815235
7390.787447,18,50932.101062
7801.886005,16,50933.326342
7013.658878,20,50935.313653
8493.328135,12,50936.198277
5711.750724,27,50938.683946
7525.338504,18,50939.985981
8579.312897,11,50940.956489
8297.203375,13,50942.334056
8301.915373,13,50943.289104
5191.191622,28,50945.144058
5184.339133,28,50947.190964
4935.264355,32,50949.211234
8692.18946,11,50950.212776
-39351.027376,200,50961.246442
7601.33478,17,50962.425951
8389.229119,12,50963.174609
2178.932262,45,50966.046817
5181.994558,28,50968.00721
-19699.702275,153,50983.963444
8186.537581,13,50985.347806
8177.28314,13,50986.416764
5989.585615,24,50988.745447
7581.149091,16,50989.999348
8384.766109,12,50990.848943
8384.176582,12,50992.12015
8980.060259,9,50992.861225
8784.635919,10,50993.765588
8496.88808,12,50994.740323
7982.106971,14,50996.578928
8296.158815,13,50997.60098
8694.929214,11,50998.651501
7895.742424,15,50999.774484
6318.046804,24,51001.366026
8292.05943,13,51002.199322
8693.623153,11,51003.003922
-39781.027857,200,51021.030723
8497.838756,12,51022.260875
4596.679587,32,51024.643127
8290.860258,13,51026.009968
8582.498264,11,51027.476065
8580.371499,11,51028.405879
4742.441469,33,51031.079115
7495.87498,17,51033.1075
7696.545481,16,51034.298164
7891.107578,15,51035.743901
8490.556465,12,51036.733226
8294.773745,13,51037.979295
8085.722319,14,51039.035809
8381.169195,12,51040.173605
8585.164118,11,51040.920434
7979.148744,14,51041.956549
8788.17382,10,51042.784312
7700.982731,16,51044.10725
8783.844292,10,51045.224159
8183.892775,13,51046.375659
7398.736539,18,51048.246992
8589.746181,11,51049.177528
8781.722557,10,51050.184856
8982.238542,9,51051.046248
6780.066853,20,51052.481207
8694.321412,11,51053.337418
8590.414501,11,51054.21476
8494.878647,12,51055.205292
6798.568444,20,51056.561752
6391.218041,23,51058.265824
8694.522543,11,51059.047535
8379.377349,12,51059.893402
8998.006298,9,51061.002735
8984.174809,9,51061.748741
-5207.092824,80,51113.787018
7695.967156,16,51114.891742
8900.823718,10,51115.931784
8993.122445,9,51117.063086
5895.572885,26,51118.881449
6291.976626,23,51120.44227
8203.71974,14,51121.640056
3979.745864,39,51124.639045
7976.520311,14,51125.717
598.472652,53,51130.152782
8396.616509,12,51131.273535
7582.604665,16,51132.73635
5277.83049,29,51134.991731
4901.272264,31,51137.334404
8473.056569,12,51138.490931
7601.14938,17,51139.69349
5783.346648,26,51141.737838
7992.063102,14,51142.739836
6430.548158,24,51144.345599
2623.223813,43,51147.336115
7192.215534,19,51149.120008
2696.054675,41,51152.049356
6674.624584,21,51153.60456
7897.506912,17,51155.530683
8495.645738,12,51156.380661
6351.648624,25,51159.083091
8697.351925,11,51160.375887
-39780.921422,200,51172.522455
8897.845817,10,51173.276734
8485.318559,12,51174.244101
8885.402355,10,51175.160809
8897.716774,10,51175.958132
7888.498436,15,51177.152936
8481.748785,12,51178.146063
8694.620274,11,51179.163765
5987.058839,28,51181.442506
8192.58142,13,51182.429955
7389.10133,17,51183.828238
8496.559828,12,51184.919024
8900.27752,10,51185.759902
6713.702029,22,51187.528537
8781.313998,10,51188.313525
8590.492707,11,51189.378339
8299.171043,13,51190.636365
8488.240557,12,51191.922865
8285.129509,13,51192.916175
8586.646918,11,51193.884007
8695.201249,11,51195.484365
7002.635545,21,51197.035889
7895.237813,15,51198.114855
6294.691287,23,51199.903209
7186.412326,18,51201.343064
7699.326192,17,51202.699281
8097.656248,14,51203.950205
8980.806829,9,51204.947895
7206.240681,19,51206.283115
8781.074703,10,51207.16799
8294.182627,13,51208.11347
6787.257718,21,51210.076582
5286.561385,28,51211.990432
7493.874269,17,51213.160206
8586.361164,11,51213.940997
2896.780309,40,51216.956008
2331.248714,46,51220.322167
7095.489829,19,51221.814625
8386.320213,12,51222.749149
7104.56301,20,51224.522328
5974.611362,25,51226.224244
8104.577063,14,51227.301167
7579.748597,16,51228.886004
8295.782465,13,51229.793139
8780.316953,10,51230.551934
6080.108304,24,51232.748155
3957.311626,38,51235.246277
8982.876615,9,51235.935678
8096.58616,14,51236.921949
5518.322841,28,51238.986455
8388.085941,12,51239.971315
5601.720187,27,51241.838486
6720.440378,22,51243.701071
8975.6381,9,51244.899858
8495.150771,12,51245.915436
8097.72026,14,51246.937728
8083.886181,14,51248.574908
8896.837479,10,51249.871266
8494.550857,12,51250.834934
-40000.0,200,51265.664344
-39674.765224,200,51278.129147
8689.9499,11,51279.269931
3151.597948,41,51282.325909
8896.477348,10,51283.044808
5929.737913,27,51285.052848
8785.057931,10,51285.795453
6288.973496,26,51287.690277
6891.275795,20,51289.156415
7986.28337,14,51290.402871
8295.208391,13,51291.415678
8387.904792,12,51292.339106
8387.371623,12,51293.547113
7596.637136,16,51296.682872
8082.303932,14,51297.800103
8293.525885,13,51299.593232
-39346.964629,200,51311.099452
8697.199672,11,51312.033754
5520.604338,29,51315.232159
5924.381635,26,51317.145268
7710.639415,17,51318.621387
8384.238657,12,51319.485698
8383.302622,12,51320.606415
8780.731149,10,51321.378822
-39658.368224,200,51334.150341
8189.963763,13,51335.536301
8780.506387,10,51336.340117
4078.993499,38,51339.223046
8301.419911,13,51340.353244
9088.017043,9,51341.560309
-512.891424,59,51346.353632
8297.475861,13,51347.459346
8123.3805,15,51348.918054
-38728.824643,200,51363.055763
4899.937512,30,51365.246284
7787.520888,15,51367.088112
8189.032941,13,51368.041591
8781.490247,10,51369.026156
8688.903135,11,51369.984011
8693.483703,11,51370.890736
6509.168143,23,51373.16212
8580.717603,11,51373.994882
8787.010795,10,51375.075598
8578.526772,11,51375.946949
8383.914911,12,51376.888883
8988.857496,9,51377.707101
8978.97823,9,51378.366695
8982.151369,9,51379.471419
8289.73026,13,51381.154209
1778.418005,49,51384.227115
8987.086813,9,51385.313982
8182.065546,13,51386.959164
7493.166894,17,51388.45362
8583.76065,11,51389.194076
6032.4811,29,51391.107461
6581.981599,21,51393.100491
6378.054635,23,51395.250442
8092.463891,14,51396.473793
8292.745476,13,51398.126161
8384.522012,12,51399.103191
8387.305195,12,51400.241637
8490.472103,12,51401.130852
8097.284124,14,51402.130211
-36257.351448,200,51415.863683
7682.220184,16,51416.894217
9183.783154,8,51417.575694
8781.377887,10,51418.640158
7585.669138,16,51420.027478
7397.110858,18,51421.460778
8696.234728,11,51422.330036
8777.266824,10,51423.128496
7697.867914,16,51424.927317
5779.871903,25,51427.067949
7578.067632,16,51429.16595
8294.912998,13,51430.174057
8579.606191,11,51431.064623
7489.673731,17,51432.293298
7887.829625,15,51433.686217
8088.981596,14,51434.742377
8004.954345,15,51435.901922
5811.878691,27,51437.767399
8379.842499,12,51438.734923
8779.275716,10,51440.005481
7902.840308,15,51441.350402
8779.075894,10,51442.087752
9187.320646,8,51442.85823
8781.242625,10,51443.759582
6011.256824,25,51445.850174
6476.362054,22,51447.458406
8785.576835,10,51448.353806
8380.79962,12,51449.322994
7390.102886,18,51450.636114
8971.898271,9,51451.438332
7578.163746,16,51452.959173
6293.803835,24,51454.980664
8577.906579,11,51455.924268
8778.251212,10,51456.918371
8690.130923,11,51457.824828
8697.096407,11,51458.891724
9180.600893,8,51459.497511
8496.165593,12,51460.781153
6783.982654,20,51462.432653
8589.225982,11,51463.648826
8981.346405,9,51464.471079
5385.649784,27,51467.007385
7582.614787,17,51468.113265
8294.048995,13,51469.151194
7893.229914,15,51470.309173
8084.487726,14,51471.543328
8497.213552,12,51472.357863
8578.343496,11,51473.20166
3873.677837,35,51476.779851
5505.166656,28,51478.782612
8377.401194,12,51479.815984
8886.559328,10,51481.25065
8495.230649,12,51482.126361
4906.989608,31,51484.753197
8490.627581,12,51485.762476
8688.022702,11,51486.907827
6401.458512,23,51488.500607
8190.805145,13,51489.557393
8595.57628,11,51490.398216
6318.85294,24,51492.012425
8576.394933,11,51492.842801
8589.098735,11,51494.002725
8788.017237,10,51494.925862
8484.92143,12,51496.138742
7380.907167,17,51497.836808
8989.83093,9,51498.705917
8781.193315,10,51499.700539
8192.563825,13,51500.795222
6926.600429,21,51502.905209
589.560341,56,51506.715546
8297.922447,13,51508.113
6292.954602,23,51509.886492
6119.122003,25,51511.842459
6282.12686,23,51513.476673
8383.934026,12,51514.400169
7478.570387,17,51516.062719
8782.035335,10,51516.861845
8196.218965,14,51518.040495
7693.086327,16,51519.485428
8782.653048,10,51520.247918
8175.781379,13,51521.366882
8585.027467,11,51522.338053
8388.446272,12,51523.17764
8380.07493,12,51524.099489
8690.423466,11,51524.99959
8891.839705,10,51525.993821
6684.819025,21,51527.443177
4453.509193,35,51530.061119
8299.067049,13,51531.234074
7025.723568,21,51533.920238
8299.438278,13,51535.109812
8384.882866,12,51536.015103
8117.148165,15,51537.173572
8583.408802,11,51538.024239
8494.545449,12,51539.10378
7380.902856,17,51540.449755
7100.453741,22,51542.205154
8292.379127,13,51543.543167
8582.997421,11,51544.42188
-39900.717675,200,51557.408121
7782.162158,15,51558.627116
4491.583657,32,51560.979725
8886.710797,10,51561.753963
-9913.283707,104,51570.248116
8390.335704,12,51571.158556
8289.088555,13,51572.786106
6594.37299,22,51574.454767
7672.173349,16,51575.875308
8977.494465,9,51577.234127
8984.231999,9,51578.499391
-39688.356587,200,51590.690036
7593.797362,17,51592.317391
8693.553067,11,51593.137303
8379.079832,12,51594.150855
8289.129112,13,51595.194834
7973.558129,14,51596.284831
8206.235882,14,51597.468901
8499.507018,12,51598.550561
7204.228476,19,51599.923486
8295.505627,13,51600.913849
8698.0999,11,51601.962171
7384.473466,18,51603.297973
6217.751503,25,51605.095872
8581.554041,11,51606.02167
7776.309664,15,51608.027246
6481.728886,22,51609.516302
8580.513939,11,51610.715836
8785.769068,10,51611.441227
7777.617764,15,51612.993841
7791.470445,16,51614.201388
7783.960837,15,51615.423615
7577.366855,16,51616.524928
8894.417708,10,51617.45365
8498.624975,12,51618.350747
6814.975084,21,51619.922756
7989.610882,15,51621.324314
6407.455633,23,51623.075582
4082.206446,36,51625.815012
8581.346166,11,51626.632369
7789.749939,16,51627.929092
8893.555378,10,51629.001821
5894.164591,25,51631.105783
-39437.816726,200,51643.364456
8382.839736,12,51644.398051
6898.036425,21,51646.292007
8889.576754,10,51647.433869
8491.889918,12,51648.624779
2388.10717,43,51651.829654
8784.550213,10,51652.596091
8495.676026,12,51653.472367
4840.758582,32,51655.794061
8988.336089,9,51656.726411
8384.447245,12,51657.980456
7697.272809,16,51659.194804
8574.797135,11,51660.475534
8381.56283,12,51661.802001
7791.713006,16,51663.336507
6188.166666,24,51665.014493
6987.191348,19,51666.76415
8297.683322,13,51667.875696
8987.514765,9,51668.691538
7906.500157,16,51669.856546
8384.0664,12,51670.862897
8689.375365,11,51671.877125
7393.765164,18,51673.285685
8490.90342,12,51674.297421
8688.651148,11,51675.127698
5394.846559,27,51677.103868
8385.881009,12,51678.152239
6486.170819,22,51680.598295
6780.773551,20,51682.257349
8377.614679,12,51683.329477
8489.865368,12,51684.221962
-39777.960087,200,51697.379856
7784.669224,15,51698.499709
8496.197882,12,51700.065265
8497.058698,12,51701.531966
8693.129854,11,51702.472844
8588.571375,11,51703.584918
-39776.931932,200,51715.43794
6795.372959,21,51717.852793
8980.022572,9,51718.615919
7978.25598,14,51719.613034
6983.264511,19,51721.098809
7394.083154,18,51722.787248
8778.714878,10,51723.742966
8178.172417,13,51724.684849
9089.379307,9,51725.548476
8690.533128,11,51726.448091
9296.061109,8,51727.703634
8183.218278,13,51728.715022
