time_spent_exploring,episodes,mean_100rew,success_rate,mean_td_errors,current_lr,total_timesteps
2,20700,0.6,0.63,-0.008515188,0.0005,413923
2,20800,0.6,0.62,-0.006781852,0.0005,417051
2,20900,0.7,0.69,0.026014527,0.0005,420184
2,21000,0.7,0.66,-0.22272895,0.0005,423364
2,21100,0.8,0.77,-0.039370857,0.0005,426593
2,21200,0.8,0.77,0.0053930394,0.0005,429808
2,21300,0.7,0.71,0.017338565,0.0005,433051
2,21400,0.7,0.67,-0.016082413,0.0005,436270
2,21500,0.7,0.71,-0.018645559,0.0005,439520
2,21600,0.7,0.7,0.0086645335,0.0005,442692
2,21700,0.7,0.68,0.04129552,0.0005,445898
2,21800,0.5,0.47,0.012283256,0.0005,449640
2,21900,0.8,0.83,0.019732602,0.0005,453461
2,22000,0.8,0.79,-0.029528085,0.0005,457241
2,22100,0.8,0.77,-0.015849518,0.0005,461066
2,22200,0.8,0.83,0.022950731,0.0005,464888
2,22300,0.8,0.78,-0.014321005,0.0005,468705
2,22400,0.6,0.61,-0.007073232,0.0005,472461
2,22500,0.7,0.67,0.0031813905,0.0005,476246
2,22600,0.6,0.55,-0.017904026,0.0005,480016
2,22700,0.6,0.55,-0.0091674,0.0005,483762
2,22800,0.4,0.4,0.016992843,0.0005,487559
2,22900,0.3,0.35,0.025305286,0.0005,491352
2,23000,0.4,0.41,0.033603482,0.0005,495147
2,23100,0.4,0.43,-0.0050505847,0.0005,498920
2,23200,0.6,0.6,-0.0467272,0.0005,502657
2,23300,0.6,0.58,0.020729598,0.0005,506399
2,23400,0.6,0.61,0.011258582,0.0005,510125
2,23500,0.8,0.76,-0.0026113652,0.0005,513937
2,23600,0.6,0.59,-0.018434033,0.0005,517715
2,23700,0.6,0.62,-0.0053623095,0.0005,521533
2,23800,0.7,0.7,0.000704322,0.0005,525380
2,23900,0.7,0.67,-0.0021849675,0.0005,529177
2,24000,0.7,0.68,-0.037913483,0.0005,532920
