#{"t_start": 1596974959.4286354, "env_id": "gripper-env-v0"}
r,s,l,c,timesteps,t
0.0,0.63,39,0.75,1060700,43073.871442
0.0,0.629,39,0.75,1060739,43075.207141
0.0,0.628,39,0.75,1060778,43076.38221
0.0,0.627,39,0.75,1060817,43077.756711
0.0,0.626,39,0.75,1060856,43078.950925
0.0,0.626,33,0.75,1060889,43080.255087
0.0,0.625,33,0.75,1060922,43081.152351
1.0,0.626,39,0.75,1060961,43082.856215
0.0,0.626,33,0.75,1060994,43083.826606
1.0,0.626,39,0.75,1061033,43085.602125
0.0,0.626,39,0.75,1061072,43086.808679
1.0,0.626,39,0.75,1061111,43088.223321
0.0,0.626,27,0.75,1061138,43089.158097
0.0,0.625,39,0.75,1061177,43090.412694
0.0,0.624,33,0.75,1061210,43091.510581
1.0,0.624,39,0.75,1061249,43093.047648
0.0,0.624,39,0.75,1061288,43094.330305
0.0,0.623,33,0.75,1061321,43095.316476
0.0,0.622,26,0.75,1061347,43096.33383
1.0,0.623,39,0.75,1061386,43097.535998
0.0,0.622,33,0.75,1061419,43098.574263
0.0,0.621,39,0.75,1061458,43099.893493
0.0,0.62,39,0.75,1061497,43100.952026
1.0,0.62,39,0.75,1061536,43102.978886
0.0,0.62,33,0.75,1061569,43103.920321
0.0,0.619,29,0.75,1061598,43104.929566
1.0,0.619,39,0.75,1061637,43106.380927
0.0,0.619,36,0.75,1061673,43107.616145
0.0,0.618,33,0.75,1061706,43108.668402
1.0,0.618,39,0.75,1061745,43110.544595
0.0,0.617,39,0.75,1061784,43112.553063
1.0,0.617,39,0.75,1061823,43114.32933
0.0,0.616,33,0.75,1061856,43116.145072
0.0,0.615,33,0.75,1061889,43117.102561
1.0,0.615,39,0.75,1061928,43118.522544
1.0,0.615,39,0.75,1061967,43121.675349
1.0,0.616,39,0.75,1062006,43124.610811
0.0,0.615,34,0.75,1062040,43125.698153
1.0,0.615,39,0.75,1062079,43127.32547
1.0,0.615,39,0.75,1062118,43128.706346
1.0,0.615,39,0.75,1062157,43130.426103
1.0,0.616,39,0.75,1062196,43131.783899
0.0,0.615,31,0.75,1062227,43132.772621
0.0,0.614,39,0.75,1062266,43134.020291
1.0,0.614,39,0.75,1062305,43136.088155
1.0,0.614,39,0.75,1062344,43137.779784
0.0,0.613,35,0.75,1062379,43138.907172
1.0,0.614,39,0.75,1062418,43140.430366
1.0,0.615,39,0.75,1062457,43141.757311
1.0,0.616,39,0.75,1062496,43143.039284
1.0,0.616,39,0.75,1062535,43145.370821
1.0,0.616,39,0.75,1062574,43147.425658
1.0,0.617,39,0.75,1062613,43148.833327
1.0,0.617,39,0.75,1062652,43150.449281
1.0,0.617,39,0.75,1062691,43151.74981
0.0,0.617,39,0.75,1062730,43154.327761
0.0,0.616,39,0.75,1062769,43155.484972
0.0,0.616,39,0.75,1062808,43156.74186
0.0,0.615,39,0.75,1062847,43157.840907
1.0,0.616,39,0.75,1062886,43159.288538
1.0,0.616,39,0.75,1062925,43161.978808
1.0,0.616,39,0.75,1062964,43163.419137
0.0,0.615,39,0.75,1063003,43164.678315
1.0,0.615,39,0.75,1063042,43166.070768
1.0,0.615,39,0.75,1063081,43167.252914
1.0,0.615,39,0.75,1063120,43168.787543
1.0,0.615,39,0.75,1063159,43170.114149
1.0,0.615,39,0.75,1063198,43171.416083
0.0,0.614,29,0.75,1063227,43172.46406
1.0,0.615,39,0.75,1063266,43174.163463
1.0,0.616,39,0.75,1063305,43175.566851
1.0,0.616,39,0.75,1063344,43177.212253
1.0,0.616,39,0.75,1063383,43179.012408
1.0,0.616,39,0.75,1063422,43180.770715
1.0,0.616,39,0.75,1063461,43182.899034
1.0,0.617,39,0.75,1063500,43184.287611
1.0,0.617,39,0.75,1063539,43185.711953
1.0,0.617,39,0.75,1063578,43187.268716
1.0,0.617,39,0.75,1063617,43188.604124
