#{"t_start": 1607074036.1581895, "env_id": "gripper-env-v0"}
r,l,t
-40000.0,200,3834.532323
-40000.0,200,3845.318836
-40000.0,200,3855.635559
-40000.0,200,3866.46085
-39899.998755,200,3877.312569
-40000.0,200,3888.146581
-40000.0,200,3899.599365
-40000.0,200,3910.867324
-40000.0,200,3921.450311
-40000.0,200,3932.163472
-40000.0,200,3942.952067
-40000.0,200,3953.930558
-40000.0,200,3964.647372
-17589.26924,159,3974.085225
-39796.109993,200,3985.169977
-40000.0,200,3995.992068
7819.468039,13,3997.046217
-40000.0,200,4007.954529
-40000.0,200,4018.701475
-40000.0,200,4029.426919
-40000.0,200,4041.419566
-40000.0,200,4052.719282
-40000.0,200,4063.087148
-40000.0,200,4073.701374
-40000.0,200,4086.320717
-40000.0,200,4096.830865
-40000.0,200,4107.603561
-40000.0,200,4119.116607
-40000.0,200,4130.94186
-40000.0,200,4141.844112
-40000.0,200,4152.926982
-40000.0,200,4164.026793
-40000.0,200,4176.65628
-40000.0,200,4188.853989
-40000.0,200,4201.457407
-40000.0,200,4212.297851
-39900.000087,200,4222.878551
-40000.0,200,4234.195836
-40000.0,200,4246.758511
-40000.0,200,4259.279651
-40000.0,200,4272.665214
-40000.0,200,4285.923718
-40000.0,200,4296.812837
-40000.0,200,4307.534655
-40000.0,200,4318.426999
-40000.0,200,4330.117427
-40000.0,200,4341.914343
-40000.0,200,4354.245954
-40000.0,200,4366.550947
-40000.0,200,4378.482478
-40000.0,200,4390.110182
-40000.0,200,4400.821333
-40000.0,200,4411.314436
-40000.0,200,4421.688016
-40000.0,200,4432.139408
-40000.0,200,4443.819527
-40000.0,200,4456.176219
-40000.0,200,4468.215432
-39900.846655,200,4479.402067
-40000.0,200,4490.827919
-40000.0,200,4503.134026
-40000.0,200,4515.513494
-40000.0,200,4526.687965
9899.999999,2,4526.885871
-40000.0,200,4543.003896
-40000.0,200,4554.830224
-40000.0,200,4565.525776
-40000.0,200,4578.3462
-40000.0,200,4590.64359
9899.999218,2,4590.837404
-40000.0,200,4601.504158
-40000.0,200,4611.902492
-40000.0,200,4626.502836
-40000.0,200,4636.84127
-40000.0,200,4648.842144
-40000.0,200,4663.322499
-40000.0,200,4684.757614
-40000.0,200,4695.796933
9899.990117,2,4695.975028
-40000.0,200,4706.524123
-40000.0,200,4717.966631
-40000.0,200,4730.053905
-40000.0,200,4744.863322
-40000.0,200,4757.597854
-40000.0,200,4770.146128
-40000.0,200,4782.044652
-40000.0,200,4795.891017
-40000.0,200,4807.251098
-40000.0,200,4818.310618
-40000.0,200,4829.152908
-40000.0,200,4839.821245
-40000.0,200,4851.042692
9900.009293,2,4851.278767
-40000.0,200,4863.784811
-40000.0,200,4874.645045
-40000.0,200,4885.216547
-40000.0,200,4895.725658
-40000.0,200,4906.800912
-40000.0,200,4919.78718
-40000.0,200,4933.006323
-40000.0,200,4946.710184
-40000.0,200,4958.755463
-4895.191989,82,4964.095705
-40000.0,200,4974.851941
-40000.0,200,4985.404693
-40000.0,200,4996.452436
-36921.618479,200,5008.090726
-40000.0,200,5018.586742
-40000.0,200,5031.447004
-40000.0,200,5044.493615
-40000.0,200,5055.049177
-40000.0,200,5065.813833
-40000.0,200,5077.890279
-40000.0,200,5091.259688
-37999.977413,200,5105.62054
-40000.0,200,5118.925637
-40000.0,200,5131.569529
-40000.0,200,5143.358392
-40000.0,200,5155.773395
-40000.0,200,5167.888565
-40000.0,200,5179.049235
-40000.0,200,5191.502588
-40000.0,200,5204.168955
-40000.0,200,5216.80543
-40000.0,200,5228.846696
-40000.0,200,5240.455015
-40000.0,200,5252.007471
-40000.0,200,5262.728987
-39899.960097,200,5273.535264
-40000.0,200,5284.074981
-40000.0,200,5296.441761
-40000.0,200,5307.167429
-40000.0,200,5318.610772
-40000.0,200,5330.851207
5309.947734,36,5333.558846
-40000.0,200,5346.273081
-39899.999861,200,5359.10265
7593.069792,25,5360.868856
-40000.0,200,5371.877222
-40000.0,200,5382.484234
-40000.0,200,5393.051337
-40000.0,200,5405.845603
-40000.0,200,5418.568916
-38399.998756,200,5431.160437
-40000.0,200,5443.127413
-40000.0,200,5453.494001
-40000.0,200,5464.870029
-40000.0,200,5477.013229
-40000.0,200,5487.573381
-40000.0,200,5498.399342
-40000.0,200,5508.904644
-40000.0,200,5519.824341
-40000.0,200,5530.455301
-40000.0,200,5541.415632
-40000.0,200,5553.40873
-40000.0,200,5564.606213
-40000.0,200,5575.536712
9900.000006,2,5575.741196
-40000.0,200,5587.779405
-40000.0,200,5598.889544
-40000.0,200,5610.260303
-40000.0,200,5621.521563
-40000.0,200,5634.887031
-40000.0,200,5647.193411
-40000.0,200,5659.983289
-39899.976891,200,5670.728553
9900.052715,2,5670.955889
-40000.0,200,5682.447792
-40000.0,200,5693.293504
-40000.0,200,5704.108501
-40000.0,200,5714.944079
-40000.0,200,5725.68168
-40000.0,200,5736.878122
-40000.0,200,5748.045292
-40000.0,200,5760.959027
-40000.0,200,5773.732424
-40000.0,200,5787.000488
-36400.12165,200,5800.188262
-40000.0,200,5914.126227
9900.002055,2,5914.328301
-40000.0,200,5924.838548
-40000.0,200,5936.063167
-40000.0,200,5947.127648
-40000.0,200,5958.323501
9014.81893,8,5958.910557
-40000.0,200,5970.017499
-40000.0,200,5983.347871
-40000.0,200,5996.373874
-40000.0,200,6008.018854
9713.338531,4,6008.473978
-40000.0,200,6019.982097
-40000.0,200,6031.661064
-40000.0,200,6043.109659
-40000.0,200,6054.188882
-40000.0,200,6065.374133
-40000.0,200,6076.761784
-40000.0,200,6088.604774
-40000.0,200,6099.707355
-40000.0,200,6110.347625
-40000.0,200,6120.669821
-40000.0,200,6131.92669
-40000.0,200,6142.435801
-40000.0,200,6153.185042
-40000.0,200,6164.898174
-40000.0,200,6176.587523
-40000.0,200,6188.256232
-40000.0,200,6198.950539
-40000.0,200,6210.957762
-40000.0,200,6221.347975
-40000.0,200,6232.586319
-40000.0,200,6243.826952
-40000.0,200,6254.89456
-39893.163317,200,6265.515548
-40000.0,200,6276.130332
-40000.0,200,6286.566901
-40000.0,200,6298.664099
-40000.0,200,6310.893101
-40000.0,200,6323.265663
-25501.860794,179,6337.80067
-40000.0,200,6350.464159
-39700.296812,200,6362.445738
-40000.0,200,6375.707957
-40000.0,200,6387.625825
-39899.972206,200,6399.590818
-39900.000836,200,6411.881387
-40000.0,200,6425.234011
-39701.635947,200,6437.430262
4299.999706,30,6439.511853
-40000.0,200,6452.755983
-40000.0,200,6465.084324
-40000.0,200,6477.392907
-40000.0,200,6490.926705
-40000.0,200,6504.370349
-13699.991437,120,6512.206784
-22985.643817,167,6522.491139
-40000.0,200,6535.178041
-40000.0,200,6548.103333
-40000.0,200,6561.492118
-39799.999267,200,6576.943688
9699.342534,3,6577.174025
-40000.0,200,6591.234945
-19200.000514,148,6600.684089
-6199.999776,83,6606.078491
-40000.0,200,6620.93481
-40000.0,200,6633.196291
-2390.429288,64,6637.488892
-9500.276429,99,6643.922303
-40000.0,200,6656.955092
-9299.175201,98,6662.590226
10000.0,1,6662.733047
4799.992404,28,6664.68836
-40000.0,200,6677.076694
-40000.0,200,6690.161189
-40000.0,200,6702.009513
-40000.0,200,6715.860691
8199.331906,11,6716.689084
9698.005175,3,6716.929019
9298.029023,5,6717.266328
-40000.0,200,6729.820418
-40000.0,200,6742.325684
-40000.0,200,6754.620053
-39804.225364,200,6767.2739
-40000.0,200,6779.819519
-100.210486,52,6782.838576
10000.0,1,6782.970992
-40000.0,200,6798.074083
-10288.786114,104,6804.193755
-39799.999999,200,6816.210624
4910.518077,37,6818.988331
-40000.0,200,6831.530596
-40000.0,200,6844.535132
-35600.07472,200,6857.739049
-39498.33262,200,6869.873789
-40000.0,200,6881.459753
-40000.0,200,6893.124961
-40000.0,200,6906.481683
9298.430199,5,6906.917658
-40000.0,200,6918.917005
-40000.0,200,6930.228425
-40000.0,200,6941.643218
-40000.0,200,6952.951632
-26900.393415,186,6964.283439
-40000.0,200,6976.070068
8899.854593,7,6976.553629
-39797.730056,200,6987.862835
-39901.939565,200,6998.63329
9899.997733,2,6998.828279
9899.999998,2,6999.004895
-2601.360119,65,7002.68553
-40000.0,200,7014.603184
-4501.845044,74,7018.851876
-25004.760042,177,7028.716821
-40000.0,200,7039.805996
-40000.0,200,7051.565305
-40000.0,200,7063.27859
-40000.0,200,7075.093288
9900.000035,2,7075.324142
9899.999481,2,7075.497311
-40000.0,200,7088.273949
-40000.0,200,7100.781014
-40000.0,200,7112.985852
-40000.0,200,7126.510713
-40000.0,200,7138.840252
-40000.0,200,7151.799335
-39899.97021,200,7162.73337
-40000.0,200,7173.401999
-40000.0,200,7184.385443
-39799.951799,200,7195.406428
-40000.0,200,7207.045183
-40000.0,200,7218.967564
-40000.0,200,7230.850525
-39705.623149,200,7242.503214
-40000.0,200,7260.673894
-39900.002398,200,7272.312563
-40000.0,200,7283.851292
8802.291617,13,7284.876273
-40000.0,200,7296.985686
5595.915074,26,7298.664066
4404.757025,30,7300.467838
-40000.0,200,7312.343712
-40000.0,200,7323.68618
-40000.0,200,7335.504223
9697.9434,3,7335.746043
-40000.0,200,7347.735045
-40000.0,200,7359.293461
9499.003417,4,7359.599012
-13993.975681,122,7366.49255
9006.699232,7,7367.000351
9298.807229,6,7367.481155
9298.120426,5,7367.817377
2901.087146,38,7370.206998
-40000.0,200,7382.069653
2097.969254,41,7384.404355
5297.680729,25,7385.966375
-40000.0,200,7397.142258
-40000.0,200,7408.083
9899.997135,2,7408.285726
-40000.0,200,7419.702823
2595.6531,39,7422.115322
6900.13546,19,7423.459656
9297.805926,5,7423.7959
-21103.220667,158,7432.608182
-40000.0,200,7443.471903
-40000.0,200,7455.397319
-40000.0,200,7466.913932
3496.932096,34,7469.304435
-40000.0,200,7481.231107
-40000.0,200,7492.940829
5497.925909,24,7494.598861
-40000.0,200,7507.703988
9498.735484,4,7508.004452
9498.172122,4,7508.307779
-40000.0,200,7519.533798
-40000.0,200,7531.83336
7698.929721,13,7532.649457
-12701.395905,115,7538.875074
-10102.4862,102,7544.602656
9097.892138,6,7545.030253
6498.040196,19,7546.014844
3306.961933,37,7548.638197
9298.35706,5,7549.040343
7098.363544,16,7550.017552
-40000.0,200,7563.10287
-40000.0,200,7574.076247
-40000.0,200,7585.233372
-40000.0,200,7595.945763
4813.458406,30,7597.886504
-40000.0,200,7609.125944
9698.194365,3,7609.407113
6298.541083,20,7610.578309
-32896.148852,200,7624.176258
2700.62235,39,7626.736374
9698.308101,3,7627.06759
-10101.388015,102,7632.818962
6410.843218,20,7634.094368
4898.66058,27,7635.806316
9699.184146,3,7636.04522
9697.860878,3,7636.290236
-15102.275924,127,7643.501385
6811.543778,18,7644.654143
-21590.25646,161,7653.648982
4296.321725,30,7655.35745
6697.973371,18,7656.332765
-40000.0,200,7667.668684
5800.932634,23,7669.419777
-40000.0,200,7680.352302
-25501.798854,179,7690.126451
-2101.868171,62,7693.721474
-39693.209852,200,7704.865867
9697.959668,3,7705.137308
1000.992322,47,7707.721049
-10989.036818,107,7713.470315
-40000.0,200,7726.06031
5898.397836,22,7727.419792
6698.175464,18,7728.449069
9698.26456,3,7728.738265
-40000.0,200,7740.119656
-39198.121717,200,7752.874981
2707.212023,57,7756.569638
-39589.190319,200,7770.236267
-40000.0,200,7782.960737
6498.441352,19,7784.081968
-40000.0,200,7796.656286
-40000.0,200,7810.179128
-9108.724395,97,7815.988954
-39689.241153,200,7826.807236
8300.605007,10,7827.448223
4297.804892,32,7829.40979
9297.976134,5,7829.729902
-40000.0,200,7840.908509
-32201.412714,200,7853.87
6497.248597,19,7854.944673
-40000.0,200,7867.473613
-40000.0,200,7879.802603
8096.676279,12,7880.639245
9202.03597,6,7881.235146
-40000.0,200,7893.584219
9698.778935,3,7893.856046
-40000.0,200,7906.694406
7202.825176,16,7907.800692
6696.055082,19,7908.98707
-15901.35168,131,7916.610114
8899.72675,7,7917.075829
7098.801755,16,7917.997319
8595.917625,9,7918.624202
-1701.750261,60,7921.806993
4198.697069,31,7923.655852
9698.985854,3,7923.889998
9698.299895,3,7924.124473
4697.984223,28,7925.725962
7498.183903,14,7926.549951
-24806.065925,185,7937.164307
-4702.10752,75,7941.487825
9291.954192,5,7941.906512
6000.84325,22,7943.391014
-40000.0,200,7955.141852
1897.76645,42,7957.507891
-3996.836334,73,7961.849204
3802.80887,41,7964.442992
